freq_offset_mhz,psd_dbfs_per_hz
-8.000000000000000000e+01,-1.962494913445472093e+02
-7.996093750000000000e+01,-1.963139570829240483e+02
-7.992187500000000000e+01,-1.965689158819011482e+02
-7.988281250000000000e+01,-1.967531375600916022e+02
-7.984375000000000000e+01,-1.966949442950095204e+02
-7.980468750000000000e+01,-1.965696722462971593e+02
-7.976562500000000000e+01,-1.965590482787177962e+02
-7.972656250000000000e+01,-1.966542529092161828e+02
-7.968750000000000000e+01,-1.967736418785804062e+02
-7.964843750000000000e+01,-1.968318511481780604e+02
-7.960937500000000000e+01,-1.968329011747510435e+02
-7.957031250000000000e+01,-1.968306168426385909e+02
-7.953125000000000000e+01,-1.967922718911997038e+02
-7.949218750000000000e+01,-1.967688659861362339e+02
-7.945312500000000000e+01,-1.969039338498249663e+02
-7.941406250000000000e+01,-1.970735096977491594e+02
-7.937500000000000000e+01,-1.970026968766029540e+02
-7.933593750000000000e+01,-1.967917161277382831e+02
-7.929687500000000000e+01,-1.966940531461087858e+02
-7.925781250000000000e+01,-1.966748802761675563e+02
-7.921875000000000000e+01,-1.965987432408300322e+02
-7.917968750000000000e+01,-1.964861109202321643e+02
-7.914062500000000000e+01,-1.964070005565447730e+02
-7.910156250000000000e+01,-1.963907781975073874e+02
-7.906250000000000000e+01,-1.964307714695048901e+02
-7.902343750000000000e+01,-1.964832292648089265e+02
-7.898437500000000000e+01,-1.965345386896133846e+02
-7.894531250000000000e+01,-1.966119198014135918e+02
-7.890625000000000000e+01,-1.966766557981313781e+02
-7.886718750000000000e+01,-1.966195944875977659e+02
-7.882812500000000000e+01,-1.964542359772350437e+02
-7.878906250000000000e+01,-1.963569227094632481e+02
-7.875000000000000000e+01,-1.963920361252039015e+02
-7.871093750000000000e+01,-1.964355631870679701e+02
-7.867187500000000000e+01,-1.964576541889383634e+02
-7.863281250000000000e+01,-1.965307103098886046e+02
-7.859375000000000000e+01,-1.965882857362186655e+02
-7.855468750000000000e+01,-1.965711434782346316e+02
-7.851562500000000000e+01,-1.965685321487746080e+02
-7.847656250000000000e+01,-1.966320625253409560e+02
-7.843750000000000000e+01,-1.967078397000913697e+02
-7.839843750000000000e+01,-1.966737329219012338e+02
-7.835937500000000000e+01,-1.964955339104603240e+02
-7.832031250000000000e+01,-1.963797244809517792e+02
-7.828125000000000000e+01,-1.964343790710180429e+02
-7.824218750000000000e+01,-1.964886817511123809e+02
-7.820312500000000000e+01,-1.964751766846078169e+02
-7.816406250000000000e+01,-1.964786111926048022e+02
-7.812500000000000000e+01,-1.964595488062002175e+02
-7.808593750000000000e+01,-1.963832077618702669e+02
-7.804687500000000000e+01,-1.963272403623029732e+02
-7.800781250000000000e+01,-1.963341626977972396e+02
-7.796875000000000000e+01,-1.963632826318847435e+02
-7.792968750000000000e+01,-1.963750080866292365e+02
-7.789062500000000000e+01,-1.963878632993032056e+02
-7.785156250000000000e+01,-1.963724487540966379e+02
-7.781250000000000000e+01,-1.962240046576577868e+02
-7.777343750000000000e+01,-1.960063107262691915e+02
-7.773437500000000000e+01,-1.959270447817714285e+02
-7.769531250000000000e+01,-1.960003399394737471e+02
-7.765625000000000000e+01,-1.960512539642408854e+02
-7.761718750000000000e+01,-1.960212826470990990e+02
-7.757812500000000000e+01,-1.960118795079020799e+02
-7.753906250000000000e+01,-1.960675346826702707e+02
-7.750000000000000000e+01,-1.961110159534988213e+02
-7.746093750000000000e+01,-1.960933268696366554e+02
-7.742187500000000000e+01,-1.960449859976116045e+02
-7.738281250000000000e+01,-1.959424172977641376e+02
-7.734375000000000000e+01,-1.957333540274025268e+02
-7.730468750000000000e+01,-1.955044920758203659e+02
-7.726562500000000000e+01,-1.954182156592242450e+02
-7.722656250000000000e+01,-1.954496158450394319e+02
-7.718750000000000000e+01,-1.953987874211082669e+02
-7.714843750000000000e+01,-1.952283044667709646e+02
-7.710937500000000000e+01,-1.950958370580618748e+02
-7.707031250000000000e+01,-1.950421733241873028e+02
-7.703125000000000000e+01,-1.949806738036521381e+02
-7.699218750000000000e+01,-1.948862454794826249e+02
-7.695312500000000000e+01,-1.947243986794525483e+02
-7.691406250000000000e+01,-1.944836078264127366e+02
-7.687500000000000000e+01,-1.942587550838998709e+02
-7.683593750000000000e+01,-1.939635813157678967e+02
-7.679687500000000000e+01,-1.933989055392712544e+02
-7.675781250000000000e+01,-1.926280348616500078e+02
-7.671875000000000000e+01,-1.915837346965722361e+02
-7.667968750000000000e+01,-1.888584198772167326e+02
-7.664062500000000000e+01,-1.848159088081467303e+02
-7.660156250000000000e+01,-1.816412492897557627e+02
-7.656250000000000000e+01,-1.798636183231727443e+02
-7.652343750000000000e+01,-1.791828977168435131e+02
-7.648437500000000000e+01,-1.791155652897936648e+02
-7.644531250000000000e+01,-1.792056278723144942e+02
-7.640625000000000000e+01,-1.791964072564400396e+02
-7.636718750000000000e+01,-1.791660504886226875e+02
-7.632812500000000000e+01,-1.792876424753245317e+02
-7.628906250000000000e+01,-1.795207158290753000e+02
-7.625000000000000000e+01,-1.797298679333652842e+02
-7.621093750000000000e+01,-1.798358900008131513e+02
-7.617187500000000000e+01,-1.798102645478780346e+02
-7.613281250000000000e+01,-1.797341562515955786e+02
-7.609375000000000000e+01,-1.797273765078025747e+02
-7.605468750000000000e+01,-1.798316750549745393e+02
-7.601562500000000000e+01,-1.799805372019429797e+02
-7.597656250000000000e+01,-1.800727335711707724e+02
-7.593750000000000000e+01,-1.801378578575235565e+02
-7.589843750000000000e+01,-1.802811932271860940e+02
-7.585937500000000000e+01,-1.804859487703281502e+02
-7.582031250000000000e+01,-1.806257225705278131e+02
-7.578125000000000000e+01,-1.806452031380877088e+02
-7.574218750000000000e+01,-1.806125089101021786e+02
-7.570312500000000000e+01,-1.806211296817536720e+02
-7.566406250000000000e+01,-1.806845734136867918e+02
-7.562500000000000000e+01,-1.807497074050835408e+02
-7.558593750000000000e+01,-1.808696311635627296e+02
-7.554687500000000000e+01,-1.810890318762303082e+02
-7.550781250000000000e+01,-1.812333654297950716e+02
-7.546875000000000000e+01,-1.812379523600486664e+02
-7.542968750000000000e+01,-1.812748482068850535e+02
-7.539062500000000000e+01,-1.813845170927501442e+02
-7.535156250000000000e+01,-1.815184932770872877e+02
-7.531250000000000000e+01,-1.816541410795452123e+02
-7.527343750000000000e+01,-1.817275203764291405e+02
-7.523437500000000000e+01,-1.817634571626579145e+02
-7.519531250000000000e+01,-1.818305910779092471e+02
-7.515625000000000000e+01,-1.819253889978898826e+02
-7.511718750000000000e+01,-1.820874087550627110e+02
-7.507812500000000000e+01,-1.823423806599689101e+02
-7.503906250000000000e+01,-1.825712168243095448e+02
-7.500000000000000000e+01,-1.826376311449721470e+02
-7.496093750000000000e+01,-1.826175752542822295e+02
-7.492187500000000000e+01,-1.826690006397378738e+02
-7.488281250000000000e+01,-1.827666587351298517e+02
-7.484375000000000000e+01,-1.828248185407569792e+02
-7.480468750000000000e+01,-1.828520329266551130e+02
-7.476562500000000000e+01,-1.828788582164702916e+02
-7.472656250000000000e+01,-1.829180362322748579e+02
-7.468750000000000000e+01,-1.830019230141099342e+02
-7.464843750000000000e+01,-1.831997574496833181e+02
-7.460937500000000000e+01,-1.834614272035273643e+02
-7.457031250000000000e+01,-1.835489295835162693e+02
-7.453125000000000000e+01,-1.833600359763489962e+02
-7.449218750000000000e+01,-1.831182397744132402e+02
-7.445312500000000000e+01,-1.830538527839802896e+02
-7.441406250000000000e+01,-1.831631103728915662e+02
-7.437500000000000000e+01,-1.833326606300951482e+02
-7.433593750000000000e+01,-1.834716894428133571e+02
-7.429687500000000000e+01,-1.835088960566679077e+02
-7.425781250000000000e+01,-1.834918538055111696e+02
-7.421875000000000000e+01,-1.835179914335854789e+02
-7.417968750000000000e+01,-1.835697781572862937e+02
-7.414062500000000000e+01,-1.836070867074498381e+02
-7.410156250000000000e+01,-1.836218070130141768e+02
-7.406250000000000000e+01,-1.836281990487539133e+02
-7.402343750000000000e+01,-1.836601836108329735e+02
-7.398437500000000000e+01,-1.836506782315963733e+02
-7.394531250000000000e+01,-1.835265947632876191e+02
-7.390625000000000000e+01,-1.833873904714395167e+02
-7.386718750000000000e+01,-1.833317539262663161e+02
-7.382812500000000000e+01,-1.833511306785102590e+02
-7.378906250000000000e+01,-1.834103619442284128e+02
-7.375000000000000000e+01,-1.834361319090456846e+02
-7.371093750000000000e+01,-1.833839816259740303e+02
-7.367187500000000000e+01,-1.833143753078068130e+02
-7.363281250000000000e+01,-1.832657158710602516e+02
-7.359375000000000000e+01,-1.832199354458744267e+02
-7.355468750000000000e+01,-1.831618210259578632e+02
-7.351562500000000000e+01,-1.830463425423390049e+02
-7.347656250000000000e+01,-1.828449091745235364e+02
-7.343750000000000000e+01,-1.826609357316065996e+02
-7.339843750000000000e+01,-1.826072286312015081e+02
-7.335937500000000000e+01,-1.826193302740382478e+02
-7.332031250000000000e+01,-1.825607242515498569e+02
-7.328125000000000000e+01,-1.824344180368788386e+02
-7.324218750000000000e+01,-1.823259779941750196e+02
-7.320312500000000000e+01,-1.822561198374822595e+02
-7.316406250000000000e+01,-1.822008202397204002e+02
-7.312500000000000000e+01,-1.821193459197511402e+02
-7.308593750000000000e+01,-1.820161540827605791e+02
-7.304687500000000000e+01,-1.819837642949940744e+02
-7.300781250000000000e+01,-1.819986080682620866e+02
-7.296875000000000000e+01,-1.818833443444285649e+02
-7.292968750000000000e+01,-1.815803532966385205e+02
-7.289062500000000000e+01,-1.812398239622733342e+02
-7.285156250000000000e+01,-1.810254159495346471e+02
-7.281250000000000000e+01,-1.809306605156318142e+02
-7.277343750000000000e+01,-1.808706243134654983e+02
-7.273437500000000000e+01,-1.808474260016264452e+02
-7.269531250000000000e+01,-1.808486380910466380e+02
-7.265625000000000000e+01,-1.808227380781531224e+02
-7.261718750000000000e+01,-1.807805133599153464e+02
-7.257812500000000000e+01,-1.807005113620175791e+02
-7.253906250000000000e+01,-1.805232862456595058e+02
-7.250000000000000000e+01,-1.802940122626957304e+02
-7.246093750000000000e+01,-1.801292628013738124e+02
-7.242187500000000000e+01,-1.800827878192374101e+02
-7.238281250000000000e+01,-1.800551208607745650e+02
-7.234375000000000000e+01,-1.799151799503914049e+02
