time_us,I,Q
0.000000000000000000e+00,1.423073683498783520e-06,-6.413515996920465503e-07
6.249999999999999480e-03,2.520217190403199775e-07,-1.344103273268677037e-06
1.249999999999999896e-02,1.504765137109141501e-06,2.327210578073303049e-06
1.874999999999999931e-02,-1.601491120511679702e-06,-2.469741042087198078e-06
2.499999999999999792e-02,-3.080528690019187284e-07,-5.117984083750921947e-07
3.125000000000000000e-02,7.540825579638622142e-08,-9.505976726866246811e-07
3.749999999999999861e-02,2.834582002566272731e-07,-1.834266457609825962e-06
4.374999999999999722e-02,3.079261834723217736e-07,2.506094801273024992e-07
4.999999999999999584e-02,-1.988029689097304053e-06,8.458259250031196610e-07
5.624999999999999445e-02,1.228577610819921824e-06,-6.324100855610037120e-07
6.250000000000000000e-02,-6.352316180789270568e-07,-3.217081339277567448e-06
6.875000000000000555e-02,6.596198719213034249e-07,5.442439272090818371e-07
7.499999999999999722e-02,4.345126371765140177e-07,-7.369056977108474206e-07
8.125000000000000278e-02,5.070448335632640735e-07,1.408859706499381955e-06
8.749999999999999445e-02,9.646154843818287091e-08,9.006038695173584699e-07
9.375000000000000000e-02,1.504897594724032901e-06,-4.720445512323721354e-07
9.999999999999999167e-02,-1.013684548282568275e-06,-4.253955241391396142e-07
1.062499999999999972e-01,-5.427395910684952664e-07,-2.914432231090730806e-07
1.124999999999999889e-01,-9.225933441428361836e-07,-9.432238509255841768e-07
1.187499999999999944e-01,3.364049356605860006e-06,-1.089013923103774108e-06
1.250000000000000000e-01,1.340715504165046752e-06,1.690813547806946941e-07
1.312499999999999778e-01,-5.798062079353499033e-07,-1.427698701689169040e-06
1.375000000000000111e-01,-2.267791032369958784e-06,2.579373722396975011e-07
1.437499999999999889e-01,7.172128349495845346e-08,2.584637384341022957e-06
1.499999999999999944e-01,1.234655765277738036e-06,-1.513163876503759355e-07
1.562500000000000000e-01,-1.533670012173203347e-07,-1.344846644521870053e-07
1.625000000000000056e-01,-1.933925663325193575e-06,-6.359445023849248995e-07
1.687500000000000111e-01,-7.058278289368353246e-08,-1.264058522444368721e-06
1.749999999999999889e-01,-1.334594487706053537e-06,-2.269812968674347957e-07
1.812500000000000222e-01,-3.723634278502450791e-07,5.054872046376541625e-07
1.875000000000000000e-01,-9.063292756382570148e-07,-1.725815931358468725e-06
1.937500000000000056e-01,1.082049623141659127e-07,2.611609749279690928e-06
1.999999999999999833e-01,-7.768112508627701449e-07,2.634511365681311877e-07
2.062500000000000167e-01,7.706137755855610485e-07,-1.641785137041590245e-06
2.124999999999999944e-01,7.345273253453454287e-07,-5.919683965207753686e-07
2.187500000000000000e-01,8.037509767277821175e-07,-3.274313463567744120e-06
2.249999999999999778e-01,-1.956727715516046454e-06,8.547981294065270511e-07
2.312500000000000111e-01,6.730913509578767649e-07,-7.606903351995141259e-07
2.374999999999999889e-01,-2.241260176978939638e-07,3.559347940407005794e-07
2.437499999999999944e-01,-1.039149082854619070e-06,-1.320342561422611421e-06
2.500000000000000000e-01,3.494309295514671080e-07,-1.939453824785900694e-07
2.562499999999999778e-01,-8.172363187824729582e-07,4.438110888814308934e-08
2.624999999999999556e-01,8.912950879088300485e-07,1.650680448625661355e-07
2.687500000000000444e-01,-1.199939344766633784e-06,-5.562888331044036025e-07
2.750000000000000222e-01,-6.283397107814763365e-07,1.921019995176191920e-07
2.812500000000000000e-01,-1.648649921800545358e-06,-1.070909678226661724e-06
2.874999999999999778e-01,-1.038517451222974835e-06,1.888285124402621889e-06
2.937500000000000111e-01,3.403568278374160423e-07,-1.247357480512254859e-06
2.999999999999999889e-01,-2.924953859546663171e-07,7.491586335651011382e-07
3.062499999999999667e-01,1.662442828967136386e-06,8.677621503030309072e-07
3.125000000000000000e-01,5.690167275355280921e-07,3.045322419517316897e-07
3.187500000000000333e-01,-2.564925151016503661e-06,-1.415599319191685688e-06
3.250000000000000111e-01,-2.355124667322562770e-06,-4.352998519608743630e-07
3.312499999999999889e-01,1.459891628631495363e-06,1.657944909972992254e-06
3.375000000000000222e-01,1.196692915203164178e-06,8.099186211599200747e-08
3.437500000000000000e-01,1.764614331167667112e-07,-3.257986093058991750e-07
3.499999999999999778e-01,1.700758454157750722e-06,-1.269427926517944500e-06
3.562499999999999556e-01,-7.000541299712700965e-08,7.326145183458304477e-07
3.625000000000000444e-01,-1.249241773285873045e-06,5.189701298215906045e-07
3.687500000000000222e-01,-1.557397790685559814e-06,6.460312192729394233e-07
3.750000000000000000e-01,8.841506745814894376e-07,4.072852335651101096e-07
3.812499999999999778e-01,-4.085872977521553805e-07,1.693421188594476893e-06
3.875000000000000111e-01,3.595090941624171550e-07,1.397627769225301456e-06
3.937499999999999889e-01,1.946497840180154345e-07,-1.181013982934575606e-06
3.999999999999999667e-01,-1.374711112571353767e-05,-7.274790288094594655e-06
4.062500000000000000e-01,-9.646745828388071653e-06,-3.663683548349097642e-06
4.125000000000000333e-01,-1.447499831901981363e-05,1.130161316886672884e-05
4.187500000000000111e-01,1.254960984939797560e-05,-1.971729449434509628e-05
4.249999999999999889e-01,-2.397891190336534199e-06,1.454752808097065513e-05
4.312500000000000222e-01,-1.250431832196608231e-05,-3.031352783119918511e-07
4.375000000000000000e-01,9.288793286236706221e-06,-1.643199971699616813e-06
4.437499999999999778e-01,-5.738832904823558214e-06,4.246390370111693279e-06
4.499999999999999556e-01,1.443132191790784737e-05,-2.743561402306512084e-05
4.562500000000000444e-01,9.040055610854500154e-06,1.349709900315158650e-05
4.625000000000000222e-01,-5.598044122166835192e-06,3.595379255247365962e-06
4.687500000000000000e-01,1.592688225999613875e-05,-3.570585545888776993e-06
4.749999999999999778e-01,2.620824799860878789e-05,4.328282303650246434e-07
4.812500000000000666e-01,1.216648568705359915e-05,-1.172993102489609988e-05
4.874999999999999889e-01,-6.886338882730284538e-06,8.683016432997804832e-06
4.937500000000000222e-01,1.694570673362444369e-05,3.394902613455228482e-06
5.000000000000000000e-01,-8.544889922683463892e-06,7.872707083464460767e-06
5.062499999999999778e-01,4.579412086778284608e-05,1.082536024247490440e-05
5.124999999999999556e-01,2.663297439421550284e-05,-6.522590468648084992e-06
5.187500000000000444e-01,-2.584537672901089252e-05,2.537773969800263590e-06
5.249999999999999112e-01,1.326944348372877935e-05,5.954527649452414848e-06
5.312500000000000000e-01,-8.727309531701278291e-06,1.820276334708437438e-05
5.375000000000000888e-01,-1.123101189642780381e-05,1.924705724389839695e-05
5.437499999999999556e-01,6.410324727094380513e-06,2.480016509390770217e-06
5.500000000000000444e-01,-1.068356947198276784e-05,9.057175495871784963e-06
5.562500000000000222e-01,1.163694120506579476e-05,-5.256446995481988522e-06
5.625000000000000000e-01,1.707012254773106566e-06,2.374870951782802537e-06
5.687499999999999778e-01,5.850005901731182575e-06,-1.968889994317930245e-05
5.749999999999999556e-01,-1.016025850909916648e-05,-2.350126856143573532e-05
5.812500000000000444e-01,4.886929844260656611e-06,2.796874720459909720e-06
5.875000000000000222e-01,5.058869967368633790e-06,-1.195203822894909984e-05
5.937500000000000000e-01,3.749975132163857772e-06,-7.345467068721239861e-06
5.999999999999999778e-01,4.268295728290430181e-05,-1.746225815065688940e-06
6.062500000000000666e-01,-2.611167238795694914e-05,-2.756471084862544159e-06
6.124999999999999334e-01,-1.092223122358800570e-05,1.723647363226151900e-05
6.187500000000000222e-01,-1.490681614963251865e-05,1.395187436423124503e-05
6.250000000000000000e-01,-1.918659561817031992e-05,-2.369946753676140620e-05
6.312499999999999778e-01,3.551755514976887560e-06,1.528595158831668613e-05
6.375000000000000666e-01,-8.505281906385202549e-06,4.971212968086344391e-06
6.437499999999999334e-01,-1.166038813894405734e-05,-7.690070599263783041e-06
6.500000000000000222e-01,-2.946433140829735485e-05,4.794150790195773228e-06
6.562500000000000000e-01,8.957581290245959844e-06,-9.962518585714901615e-06
6.624999999999999778e-01,-5.597493664662797432e-06,-8.770454515500281795e-06
6.687499999999999556e-01,-2.992153163884434059e-05,-1.133131239333294641e-05
6.750000000000000444e-01,-2.365967556754405330e-05,3.192890155111650303e-07
6.812500000000000222e-01,-1.052910045334505451e-05,-2.861512397071910659e-05
6.875000000000000000e-01,3.789866373121342353e-06,-4.365685921081820463e-06
6.937499999999999778e-01,1.774337927878952685e-05,2.983980665325876649e-06
6.999999999999999556e-01,1.280986612507070078e-05,7.393681294112099039e-06
7.062500000000000444e-01,-1.243104732492154750e-06,3.642450781410512754e-06
7.124999999999999112e-01,1.324029499094568595e-06,-9.008632794402908776e-06
7.187500000000000000e-01,-8.511224651594565553e-08,5.279337755044042596e-06
7.250000000000000888e-01,-1.421090734286520850e-06,-1.695531803574489050e-06
7.312499999999999556e-01,1.177326561818944824e-05,2.586828988034237990e-05
7.375000000000000444e-01,-9.060337363228544315e-06,2.471772549326822118e-05
7.437500000000000222e-01,-1.491535310264142404e-05,2.324428759547376199e-05
7.500000000000000000e-01,5.592635999468022412e-06,-5.145286450589417483e-06
7.562499999999999778e-01,-1.229656906268165817e-05,1.359661024938660679e-05
7.624999999999999556e-01,2.447181533359361221e-06,1.621714313221541773e-05
7.687500000000000444e-01,1.010612006865521392e-06,1.311662899152641969e-06
7.750000000000000222e-01,-3.668968133877066897e-07,1.880781930080101521e-05
7.812500000000000000e-01,3.957652749705686698e-06,-1.139674915807010330e-05
7.874999999999999778e-01,-1.123845453258062063e-05,2.523068855983678661e-05
7.937500000000000666e-01,7.236699406371453023e-06,-8.385982023553670240e-06
7.999999999999999334e-01,1.697423441174024670e-06,6.714497463504688118e-06
8.062500000000000222e-01,1.741328555175607304e-05,1.594030656087119091e-05
8.125000000000000000e-01,-1.923285863174897160e-05,-4.752331239520863998e-06
8.187499999999999778e-01,-2.768003909927558106e-05,-3.679246877266492627e-06
8.250000000000000666e-01,-4.587749040483801656e-06,-9.869924100214986183e-06
8.312499999999999334e-01,-1.918711151921550088e-05,3.250553733265544956e-05
8.375000000000000222e-01,1.305446452217696208e-05,6.380985722961342649e-06
8.437500000000000000e-01,-1.440484109742694783e-05,-7.124702230155330161e-06
8.499999999999999778e-01,-2.469306397977367041e-05,-7.297818306226663422e-06
8.562499999999999556e-01,-4.537185500160621025e-06,-2.354101494413023174e-06
8.625000000000000444e-01,1.363905989758452568e-06,1.568084600334486182e-05
8.687500000000000222e-01,9.511717000597922852e-06,1.060143685851947464e-05
8.750000000000000000e-01,-1.633405242487246365e-05,-1.412275357315759445e-05
8.812499999999999778e-01,5.194907222664788683e-07,-3.007814688083957554e-05
8.874999999999999556e-01,3.191755978375755948e-06,1.232800834100524741e-05
8.937500000000000444e-01,1.465016411058517819e-05,2.603225931541946309e-05
8.999999999999999112e-01,3.990194900905150822e-05,4.837684967404205039e-07
9.062500000000000000e-01,5.602113727381122093e-06,3.858546209274961087e-07
9.125000000000000888e-01,1.089850239211629267e-05,-1.376201228578577648e-05
9.187499999999999556e-01,-3.013007796868928605e-05,-5.291717091946751531e-06
9.250000000000000444e-01,-1.764006258338117266e-05,2.153630615377269452e-05
9.312500000000000222e-01,8.209450663624875890e-06,5.267707978369808989e-06
9.375000000000000000e-01,-8.270801292546802648e-06,1.411301487345838488e-05
9.437499999999999778e-01,-5.887821035050477181e-06,-1.942227879561025315e-05
9.499999999999999556e-01,-4.345380472887251335e-05,-5.276064199679508402e-05
9.562499999999999334e-01,-4.703374720980519547e-08,-7.267987147841106451e-07
9.625000000000001332e-01,1.588419103923629900e-05,-1.642072853364849374e-05
9.687500000000000000e-01,5.785921816515251301e-06,-1.009804713116954434e-05
9.749999999999999778e-01,-2.691769574117705139e-06,-2.355625947182557266e-05
9.812499999999999556e-01,-2.414756815983597838e-06,-3.266724459367374933e-05
9.875000000000000444e-01,1.403994100010689863e-05,-2.592503504580696737e-06
9.937500000000000222e-01,7.103592318166566840e-06,-1.196697415109674205e-06
1.000000000000000000e+00,-1.942823248239623403e-06,1.558728320220568637e-05
1.006249999999999867e+00,-1.205623224057883006e-05,-2.426980063950111613e-05
1.012499999999999956e+00,-3.753179594833463272e-06,-9.283070124913126659e-06
1.018750000000000044e+00,1.008159681554847432e-05,6.213673294336299408e-06
1.024999999999999911e+00,-1.297265897862283684e-06,2.273331221322507766e-06
1.031250000000000000e+00,-2.475495987544668492e-05,3.116860630766660661e-05
1.037500000000000089e+00,-9.031269338094743797e-06,-2.157399702608299953e-05
1.043749999999999956e+00,-3.218201948409920058e-05,5.915638410391064048e-06
1.049999999999999822e+00,-9.823457626773981726e-06,1.565795916498472656e-07
1.056250000000000133e+00,1.137181633470802581e-06,2.353196087057114659e-06
1.062500000000000000e+00,-1.982794716663738015e-05,2.438368731220602354e-05
1.068749999999999867e+00,1.588782953742068024e-05,-2.600726652824901554e-05
1.075000000000000178e+00,1.162834617217104846e-05,7.072720071533106151e-07
1.081250000000000044e+00,9.194750081363744442e-07,-2.177169076558406788e-05
1.087499999999999911e+00,-2.788320817916105171e-07,-7.266124451479548183e-06
1.093750000000000000e+00,-1.520865039511323339e-05,2.533286183910833076e-06
1.100000000000000089e+00,-3.885535697562730261e-06,-1.121209375277000459e-05
1.106249999999999956e+00,1.461694671741598098e-05,-1.371338622458717072e-06
1.112500000000000044e+00,1.485389828780993674e-05,8.613903160913199185e-06
1.118750000000000133e+00,1.513393333154158181e-05,2.381118036169840852e-06
1.125000000000000000e+00,1.586544883232047647e-05,-1.611352351274732248e-05
1.131249999999999867e+00,-1.498880930121138314e-05,-2.233779354826476103e-05
1.137499999999999956e+00,-7.318550481339152789e-06,-2.225636813965984692e-06
1.143750000000000044e+00,2.150975621786439053e-05,5.040439154960995722e-06
1.149999999999999911e+00,-1.364625444570362511e-05,-2.291492280684143714e-05
1.156250000000000000e+00,-4.882440626347584871e-06,-3.181054336371603385e-06
1.162500000000000089e+00,-1.382777494709254581e-06,-9.118343005813318969e-06
1.168749999999999956e+00,5.039867877632746383e-06,9.168664700376469983e-08
1.175000000000000044e+00,1.975254780551428184e-05,6.707350338568888920e-06
1.181249999999999911e+00,1.594661646772200712e-06,-3.043439126129738893e-05
1.187500000000000000e+00,-9.864670027843543576e-06,-8.026952916082371689e-06
1.193750000000000089e+00,-8.677047924095044601e-06,5.405820678181936563e-06
1.199999999999999956e+00,-3.313904364813081216e-06,-1.508267045336068515e-05
1.206250000000000044e+00,1.237631529047654642e-06,1.085682064680783237e-06
1.212500000000000133e+00,7.970475163898807806e-06,-6.312994674887551939e-06
1.218750000000000000e+00,-1.657435302626974583e-06,1.654940767977546323e-06
1.224999999999999867e+00,-2.194366261563755332e-05,-2.051879784046849536e-05
1.231250000000000178e+00,-3.043888744579155837e-06,-7.719392883670663603e-06
1.237500000000000044e+00,-1.146838789794812273e-05,2.790219386516611115e-06
1.243749999999999911e+00,-1.351658656387687557e-05,1.087259029041765757e-05
1.250000000000000000e+00,-5.927242934834208734e-06,-6.296250402622226636e-06
1.256250000000000089e+00,-2.135161985854836964e-05,-1.697058216339187342e-05
1.262499999999999956e+00,4.353450986225755231e-06,-5.337863233097453784e-06
1.268749999999999822e+00,2.994192001596602315e-06,-1.399743942651516766e-05
1.275000000000000133e+00,6.358290932226942679e-07,3.136920934591139876e-05
1.281250000000000000e+00,1.615350145274540867e-06,1.126181335270017909e-05
1.287499999999999867e+00,1.365452694906698603e-06,-1.217531230861604737e-05
1.293749999999999956e+00,9.901347071938584226e-06,-8.818388081786480673e-07
1.300000000000000044e+00,1.606547420243108554e-05,-8.283470721274354355e-06
1.306249999999999911e+00,-1.608593568454497747e-05,1.611065062143342771e-05
