freq_offset_mhz,psd_dbfs_per_hz
-8.000000000000000000e+01,-1.278478588447755016e+02
-7.996093750000000000e+01,-1.278461307040131487e+02
-7.992187500000000000e+01,-1.278433926135155048e+02
-7.988281250000000000e+01,-1.278395219976516159e+02
-7.984375000000000000e+01,-1.278344254569343548e+02
-7.980468750000000000e+01,-1.278283908090843255e+02
-7.976562500000000000e+01,-1.278212430819502430e+02
-7.972656250000000000e+01,-1.278128269897777756e+02
-7.968750000000000000e+01,-1.278033252516239315e+02
-7.964843750000000000e+01,-1.277927957256574985e+02
-7.960937500000000000e+01,-1.277810954115919628e+02
-7.957031250000000000e+01,-1.277682633205896678e+02
-7.953125000000000000e+01,-1.277542053877942010e+02
-7.949218750000000000e+01,-1.277388917328141957e+02
-7.945312500000000000e+01,-1.277226176428466715e+02
-7.941406250000000000e+01,-1.277050270890800334e+02
-7.937500000000000000e+01,-1.276861750141525533e+02
-7.933593750000000000e+01,-1.276663276275814241e+02
-7.929687500000000000e+01,-1.276449794568711695e+02
-7.925781250000000000e+01,-1.276223260350167124e+02
-7.921875000000000000e+01,-1.275987416076691403e+02
-7.917968750000000000e+01,-1.275736846028175506e+02
-7.914062500000000000e+01,-1.275472880818862365e+02
-7.910156250000000000e+01,-1.275195233522951526e+02
-7.906250000000000000e+01,-1.274902616723049107e+02
-7.902343750000000000e+01,-1.274598802915271563e+02
-7.898437500000000000e+01,-1.274279709115585035e+02
-7.894531250000000000e+01,-1.273945317505350374e+02
-7.890625000000000000e+01,-1.273597358765503316e+02
-7.886718750000000000e+01,-1.273233450924975472e+02
-7.882812500000000000e+01,-1.272852529359369953e+02
-7.878906250000000000e+01,-1.272458041394706783e+02
-7.875000000000000000e+01,-1.272047710561066367e+02
-7.871093750000000000e+01,-1.271617586791200694e+02
-7.867187500000000000e+01,-1.271172108708174449e+02
-7.863281250000000000e+01,-1.270708417766523581e+02
-7.859375000000000000e+01,-1.270224679484014132e+02
-7.855468750000000000e+01,-1.269725776876998964e+02
-7.851562500000000000e+01,-1.269206535108671261e+02
-7.847656250000000000e+01,-1.268662858991099540e+02
-7.843750000000000000e+01,-1.268100606075194321e+02
-7.839843750000000000e+01,-1.267520520478149706e+02
-7.835937500000000000e+01,-1.266915008148404240e+02
-7.832031250000000000e+01,-1.266285331662597855e+02
-7.828125000000000000e+01,-1.265631936809313061e+02
-7.824218750000000000e+01,-1.264952245114602363e+02
-7.820312500000000000e+01,-1.264250430070036657e+02
-7.816406250000000000e+01,-1.263517778002857739e+02
-7.812500000000000000e+01,-1.262755089684409029e+02
-7.808593750000000000e+01,-1.261969346430413168e+02
-7.804687500000000000e+01,-1.261144929668469814e+02
-7.800781250000000000e+01,-1.260284302736950934e+02
-7.796875000000000000e+01,-1.259401051579944237e+02
-7.792968750000000000e+01,-1.258475714736371884e+02
-7.789062500000000000e+01,-1.257513185593782055e+02
-7.785156250000000000e+01,-1.256504481959544250e+02
-7.781250000000000000e+01,-1.255445370633806874e+02
-7.777343750000000000e+01,-1.254357305487966414e+02
-7.773437500000000000e+01,-1.253213621312818589e+02
-7.769531250000000000e+01,-1.252015406838446268e+02
-7.765625000000000000e+01,-1.250768985261609600e+02
-7.761718750000000000e+01,-1.249454553489695030e+02
-7.757812500000000000e+01,-1.248064429473937622e+02
-7.753906250000000000e+01,-1.246621157364545383e+02
-7.750000000000000000e+01,-1.245111424801428370e+02
-7.746093750000000000e+01,-1.243497177327629970e+02
-7.742187500000000000e+01,-1.241794902072237221e+02
-7.738281250000000000e+01,-1.239999730197143322e+02
-7.734375000000000000e+01,-1.238089656267768532e+02
-7.730468750000000000e+01,-1.236073018644420216e+02
-7.726562500000000000e+01,-1.233925665365717634e+02
-7.722656250000000000e+01,-1.231579407083942783e+02
-7.718750000000000000e+01,-1.229071676335037324e+02
-7.714843750000000000e+01,-1.226443155320584708e+02
-7.710937500000000000e+01,-1.223536162946137722e+02
-7.707031250000000000e+01,-1.220316559093306950e+02
-7.703125000000000000e+01,-1.216842110932377636e+02
-7.699218750000000000e+01,-1.212989781482279597e+02
-7.695312500000000000e+01,-1.208612691213079273e+02
-7.691406250000000000e+01,-1.203662062959714660e+02
-7.687500000000000000e+01,-1.198120453614939720e+02
-7.683593750000000000e+01,-1.191502094252249009e+02
-7.679687500000000000e+01,-1.182995470093408983e+02
-7.675781250000000000e+01,-1.172131740333075669e+02
-7.671875000000000000e+01,-1.156648876776170027e+02
-7.667968750000000000e+01,-1.122446952135166782e+02
-7.664062500000000000e+01,-1.078508564943608263e+02
-7.660156250000000000e+01,-1.045649776871851770e+02
-7.656250000000000000e+01,-1.027219634944591320e+02
-7.652343750000000000e+01,-1.019690728506951984e+02
-7.648437500000000000e+01,-1.018314374666605460e+02
-7.644531250000000000e+01,-1.018847584303048563e+02
-7.640625000000000000e+01,-1.018498286537647743e+02
-7.636718750000000000e+01,-1.017448449980272187e+02
-7.632812500000000000e+01,-1.017444487855094621e+02
-7.628906250000000000e+01,-1.018523886022424421e+02
-7.625000000000000000e+01,-1.019706900200709470e+02
-7.621093750000000000e+01,-1.020371387425776391e+02
-7.617187500000000000e+01,-1.019971310613227047e+02
-7.613281250000000000e+01,-1.018681432594161436e+02
-7.609375000000000000e+01,-1.017558264159109882e+02
-7.605468750000000000e+01,-1.017497330959311341e+02
-7.601562500000000000e+01,-1.018149140138611983e+02
-7.597656250000000000e+01,-1.018312883893464260e+02
-7.593750000000000000e+01,-1.018028518811883174e+02
-7.589843750000000000e+01,-1.018402755149539018e+02
-7.585937500000000000e+01,-1.019437908373530490e+02
-7.582031250000000000e+01,-1.020006476497583208e+02
