time_us,I,Q
0.000000000000000000e+00,8.514915886004821577e-02,-1.620936329178126675e-02
6.249999999999999480e-03,4.667441231843846156e-02,-1.886475090571292784e-02
1.249999999999999896e-02,1.951504914894375275e-02,-9.825984859025017892e-02
1.874999999999999931e-02,1.870829063963209971e-02,1.163304198155878932e-01
2.499999999999999792e-02,-4.233409157242282866e-02,-6.698107568368337483e-02
3.125000000000000000e-02,2.978423399788248868e-02,-4.003149638576482261e-02
3.749999999999999861e-02,-4.784290973964126781e-02,4.518055206729717360e-02
4.374999999999999722e-02,-4.667286865378459521e-03,-1.021992433722983522e-03
4.999999999999999584e-02,5.516349035895401487e-02,1.228809624762278452e-01
5.624999999999999445e-02,-8.221629635726156182e-02,3.002742188252527367e-03
6.250000000000000000e-02,-1.030533311180954932e-02,-2.991494973147032499e-02
6.875000000000000555e-02,-3.470232099971441719e-02,4.981176355875852058e-02
7.499999999999999722e-02,-1.140278106930488616e-01,8.363943752285954436e-02
8.125000000000000278e-02,1.946187544145165996e-02,5.081889023146753115e-02
8.749999999999999445e-02,5.161878147008344686e-02,-5.323901338296637559e-02
9.375000000000000000e-02,-5.281055795994287622e-02,2.997683875714425919e-02
9.999999999999999167e-02,1.389412562516306043e-02,-2.554729438288125612e-02
1.062499999999999972e-01,-1.684607320488549775e-01,8.192253635925533795e-02
1.124999999999999889e-01,-6.469115415606942199e-02,1.007573223323655065e-01
1.187499999999999944e-01,4.305690201440027370e-02,-7.938995882133138837e-02
1.250000000000000000e-01,-5.967286814321282051e-02,2.118474701467800911e-02
1.312499999999999778e-01,-4.459783715885660971e-02,-6.712882177058691890e-02
1.375000000000000111e-01,7.814376373897468156e-03,-1.315776247223524320e-01
1.437499999999999889e-01,3.073339046614443227e-03,-2.998842163572160852e-02
1.499999999999999944e-01,-3.559571810206463988e-02,-4.428746690974244560e-02
1.562500000000000000e-01,-5.252420468501406425e-02,5.250419622611229853e-02
1.625000000000000056e-01,-5.249635873165641245e-04,3.488454403946442822e-02
1.687500000000000111e-01,5.163060445060684706e-02,1.382508775924215227e-01
1.749999999999999889e-01,9.223077976216663421e-02,6.420134446399604344e-02
1.812500000000000222e-01,-1.910680714296746768e-02,2.354282919560848897e-02
1.875000000000000000e-01,-2.384420929944040465e-02,6.383729037587029809e-02
1.937500000000000056e-01,-1.388227579848432675e-02,5.912524522606828897e-02
1.999999999999999833e-01,-1.460242666866946870e-01,9.678166981198031704e-02
2.062500000000000167e-01,6.958591907376333874e-02,-1.215218818640354942e-01
2.124999999999999944e-01,-5.584155681955728368e-03,-1.341571028488570960e-01
2.187500000000000000e-01,6.680306276968074608e-02,-1.721221336486749853e-01
2.249999999999999778e-01,1.853817403706910505e-01,-6.203719420317529380e-04
2.312500000000000111e-01,-1.788635822114241145e-02,-9.074882957485022605e-02
2.374999999999999889e-01,-4.706508444315615075e-02,-7.986543665533378869e-03
2.437499999999999944e-01,5.712394749049111431e-02,4.177864852246349070e-02
2.500000000000000000e-01,4.966987262438823936e-02,-1.480910611568752276e-02
2.562499999999999778e-01,-4.150307776060280923e-02,9.069633408004193487e-02
2.624999999999999556e-01,4.475570979082762330e-02,6.097331426477105298e-02
2.687500000000000444e-01,1.599346503798411145e-01,-3.470814437817627135e-02
2.750000000000000222e-01,7.018801559545846669e-02,-8.534518551832917521e-02
2.812500000000000000e-01,6.010693996038525555e-02,8.796549283657813245e-02
2.874999999999999778e-01,6.174236280794566378e-02,-1.962927557367151465e-02
2.937500000000000111e-01,-7.193614552112288785e-02,-1.621166451418926818e-02
2.999999999999999889e-01,-8.891262561340362858e-02,-3.703223212011013538e-02
3.062499999999999667e-01,2.932764878673801631e-02,2.182035841961458764e-02
3.125000000000000000e-01,1.470857698502254889e-02,-3.235199513142485855e-02
3.187500000000000333e-01,-5.319223540099762837e-02,-3.249997136219930777e-02
3.250000000000000111e-01,6.286745663671915174e-02,4.110882776735811511e-02
3.312499999999999889e-01,-8.985030234284201167e-02,-4.202654839620333788e-02
3.375000000000000222e-01,-8.394940469739679834e-02,-1.167753369105958977e-01
3.437500000000000000e-01,-1.687149605055960830e-02,-1.136197835706340697e-01
3.499999999999999778e-01,6.640334346154837253e-02,6.484150051725465214e-02
3.562499999999999556e-01,1.585806694127144673e-02,-1.485855526487794842e-01
3.625000000000000444e-01,-4.432522202824038665e-02,5.559092734271691046e-03
3.687500000000000222e-01,3.247549710996461975e-02,4.037690088247689740e-02
3.750000000000000000e-01,-9.157381039135853440e-02,-5.401328086247231264e-02
3.812499999999999778e-01,-1.122176549617432892e-02,4.405003367637069442e-03
3.875000000000000111e-01,-4.325355164703401784e-02,-7.487439387360504683e-02
3.937499999999999889e-01,2.584222950971008098e-02,4.500495503003805464e-02
3.999999999999999667e-01,-5.094940083707228534e-02,-5.532941661373540904e-02
4.062500000000000000e-01,-9.204269472761361648e-02,5.538706065252690935e-02
4.125000000000000333e-01,8.106291258473410921e-02,-8.778725741547412087e-02
4.187500000000000111e-01,1.234424944141074565e-01,-1.004458834135727036e-01
4.249999999999999889e-01,5.667457860023605853e-02,-3.550973880289343826e-02
4.312500000000000222e-01,-1.711607252506488694e-02,-1.369672273357480097e-01
4.375000000000000000e-01,-1.341676695395837594e-02,-4.237600892359520005e-02
4.437499999999999778e-01,2.938435548179371692e-02,-5.181963685715463945e-03
4.499999999999999556e-01,8.016970700044681597e-02,-1.426893294517317390e-02
4.562500000000000444e-01,-3.122132087286790328e-02,-3.760921036117288035e-02
4.625000000000000222e-01,-8.599243400170294982e-02,1.250114048074641793e-03
4.687500000000000000e-01,-8.150096814076697449e-02,-2.087359538484184068e-02
4.749999999999999778e-01,1.193505745579990646e-01,2.085773424554293945e-02
4.812500000000000666e-01,7.525992013196113051e-02,9.868032840800357308e-02
4.874999999999999889e-01,-9.104316740173233613e-02,-2.566383975068704804e-02
4.937500000000000222e-01,-8.002882780164387311e-02,-6.380211085264061999e-02
5.000000000000000000e-01,-7.429246983607763755e-02,1.418623318201014949e-01
5.062499999999999778e-01,-4.141878652325939325e-02,-1.726866782866928046e-02
5.124999999999999556e-01,2.167430603441770649e-03,-4.643720276395806035e-03
5.187500000000000444e-01,1.870276468224670030e-01,-7.246382739253209859e-02
5.249999999999999112e-01,2.314796007626998206e-02,-1.197123541484973047e-01
5.312500000000000000e-01,1.719943966322043383e-02,-2.217891370124849132e-02
5.375000000000000888e-01,-8.000242240869637027e-04,-8.266624992479681966e-02
5.437499999999999556e-01,6.863308914196905586e-02,5.421690745894546665e-02
5.500000000000000444e-01,2.670432334024145371e-01,3.585300642381961805e-02
5.562500000000000222e-01,1.732068538577391167e-02,7.037184197358967164e-02
5.625000000000000000e-01,-8.168506561489100731e-03,1.878668141077555753e-01
5.687499999999999778e-01,-2.668115141022381342e-02,6.885385749235908848e-02
