k_base,mag2,is_kmax,is_kfp,in_noise_win,thr
0.000000000000000000e+00,2.669704807158152787e-05,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.250000000000000000e-01,3.808750674887765351e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.500000000000000000e-01,1.547723916998447931e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
3.750000000000000000e-01,3.096956138084509409e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
5.000000000000000000e-01,5.460715437499605512e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
6.250000000000000000e-01,5.073842166716870545e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
7.500000000000000000e-01,2.886963946533662870e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
8.750000000000000000e-01,7.835523984939740657e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.000000000000000000e+00,1.060843710091245712e-10,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.125000000000000000e+00,5.736645602548238146e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.250000000000000000e+00,1.682333639811316237e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.375000000000000000e+00,2.387800441112065892e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.500000000000000000e+00,2.242723114204311468e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.625000000000000000e+00,1.446818581566095858e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.750000000000000000e+00,5.641355639103299918e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
1.875000000000000000e+00,6.665913305418232288e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.000000000000000000e+00,2.905483517812127614e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.125000000000000000e+00,1.638014013055585836e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.250000000000000000e+00,1.543166134634883724e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.375000000000000000e+00,5.452088718635170460e-08,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.500000000000000000e+00,4.793795168374361034e-07,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
2.625000000000000000e+00,2.429252041087045516e-06,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.714775706850565418e-04
