freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.496000000000000000e+08,-2.730530035609397146e+02,-2.432761699439650727e+02,-2.422924361426066184e+02
-2.494781250000000000e+08,-2.655680886183346274e+02,-2.448597293175488403e+02,-2.429502332635476023e+02
-2.493562500000000000e+08,-2.624482193808565285e+02,-2.468191202942783491e+02,-2.436564144257265525e+02
-2.492343750000000000e+08,-2.646824725115831143e+02,-2.488094067846946871e+02,-2.446499438227949099e+02
-2.491125000000000000e+08,-2.722166551917940183e+02,-2.503306709855064298e+02,-2.461668967909064349e+02
-2.489906250000000000e+08,-2.588278322689970992e+02,-2.509138658406769196e+02,-2.479709132996002552e+02
-2.488687500000000000e+08,-2.540684176663529001e+02,-2.503112129728218065e+02,-2.489594055553643557e+02
-2.487468750000000000e+08,-2.544761197975035429e+02,-2.487721014243079765e+02,-2.489870695365308961e+02
-2.486250000000000000e+08,-2.684967740469965634e+02,-2.469236694429528427e+02,-2.485557553772215726e+02
-2.485031250000000000e+08,-2.462379529530537070e+02,-2.452222164308222432e+02,-2.442898626580848997e+02
-2.483812500000000000e+08,-2.378320930037640153e+02,-2.438280346229342683e+02,-2.381593804590120840e+02
-2.482593750000000000e+08,-2.324447630927230648e+02,-2.427480338014146923e+02,-2.331953901968668674e+02
-2.481375000000000000e+08,-2.286288106047863948e+02,-2.419464429773919392e+02,-2.294875840061941403e+02
-2.480156250000000000e+08,-2.258988033270542815e+02,-2.413946146079574646e+02,-2.267951856649116564e+02
-2.478937500000000000e+08,-2.240335253562841729e+02,-2.410837232736984959e+02,-2.249501931363494407e+02
-2.477718750000000000e+08,-2.229207028005288009e+02,-2.410173260760428775e+02,-2.238542967249422588e+02
-2.476500000000000000e+08,-2.225065076214693818e+02,-2.411979636501120012e+02,-2.234577460481422122e+02
-2.475281250000000000e+08,-2.227770243186170944e+02,-2.416191468599821519e+02,-2.237480172958854325e+02
-2.474062500000000000e+08,-2.237537629453768488e+02,-2.422692897012710489e+02,-2.247472409160089910e+02
-2.472843750000000000e+08,-2.254995542035536005e+02,-2.431489000235101230e+02,-2.265181072217991982e+02
-2.471625000000000000e+08,-2.281392437374908582e+02,-2.442956811052376054e+02,-2.291823107905458130e+02
-2.470406250000000000e+08,-2.319147204105942421e+02,-2.458081813225736596e+02,-2.329651078223718059e+02
-2.469187500000000000e+08,-2.373503802271926872e+02,-2.478666413928786199e+02,-2.383024598705736707e+02
-2.467968750000000000e+08,-2.458942688698558925e+02,-2.507553895622637015e+02,-2.459517939001971740e+02
-2.466750000000000000e+08,-2.556705711357478776e+02,-2.546806200399333306e+02,-2.521344465435104780e+02
-2.465531250000000000e+08,-2.505704164230549225e+02,-2.571237726046175567e+02,-2.497296268372954557e+02
-2.464312500000000000e+08,-2.499532143029146596e+02,-2.541028273388619709e+02,-2.472946498709210346e+02
-2.463093750000000000e+08,-2.503561892511752944e+02,-2.508097382670638638e+02,-2.444563787020501593e+02
-2.461875000000000000e+08,-2.494065802659166025e+02,-2.486614535588719548e+02,-2.418660948311833181e+02
-2.460656250000000000e+08,-2.479891107409689539e+02,-2.473960562262928704e+02,-2.400391867789348908e+02
-2.459437500000000000e+08,-2.470455139708181491e+02,-2.467355100991372296e+02,-2.389820018042574361e+02
-2.458218750000000000e+08,-2.464934294573169211e+02,-2.464085707922767199e+02,-2.386031892512075103e+02
-2.457000000000000000e+08,-2.459719343525769659e+02,-2.461260114716187957e+02,-2.388267786125298358e+02
-2.455781250000000000e+08,-2.453342421744986552e+02,-2.456860088055094593e+02,-2.395931262653122928e+02
-2.454562500000000000e+08,-2.449641562049563674e+02,-2.451161602258409289e+02,-2.409018327366820245e+02
-2.453343750000000000e+08,-2.454703600557968457e+02,-2.446209866922161780e+02,-2.428951575110895078e+02
-2.452125000000000000e+08,-2.466739675613683573e+02,-2.444080003927797122e+02,-2.453738729605376250e+02
-2.450906250000000000e+08,-2.457946540170956951e+02,-2.446063622338339769e+02,-2.455558677881550693e+02
-2.449687500000000000e+08,-2.431763129927166744e+02,-2.452748363811983268e+02,-2.433499031053002000e+02
-2.448468750000000000e+08,-2.426980998340689553e+02,-2.464182499590276052e+02,-2.433835261203482787e+02
-2.447250000000000000e+08,-2.454062411504942247e+02,-2.479686943950698890e+02,-2.477931163152470333e+02
-2.446031250000000000e+08,-2.370423551187424493e+02,-2.497014351283086171e+02,-2.369626579274085998e+02
-2.444812500000000000e+08,-2.288748497260086197e+02,-2.511125336988677077e+02,-2.286424440497205808e+02
-2.443593750000000000e+08,-2.234105718745091167e+02,-2.515927402016444603e+02,-2.232014851949510899e+02
-2.442375000000000000e+08,-2.195333849532040631e+02,-2.510844278620602381e+02,-2.193492464758139988e+02
-2.441156250000000000e+08,-2.167681983984255396e+02,-2.500839018055822010e+02,-2.166019024524408678e+02
-2.439937500000000000e+08,-2.148868279202303597e+02,-2.490349996576996716e+02,-2.147328438665606996e+02
-2.438718750000000000e+08,-2.137694309878592946e+02,-2.481825454729127785e+02,-2.136240986294417326e+02
-2.437500000000000000e+08,-2.133543650005381949e+02,-2.476627694349046749e+02,-2.132153891172972919e+02
-2.436281250000000000e+08,-2.136182940436896729e+02,-2.475576629772019714e+02,-2.134843388939217448e+02
