freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.496000000000000000e+08,-2.730530035609397146e+02,-3.000000000000000000e+02,-2.474080279884019262e+02
-2.494781250000000000e+08,-2.655680886183346274e+02,-3.000000000000000000e+02,-2.478254157041390044e+02
-2.493562500000000000e+08,-2.624482193808565285e+02,-3.000000000000000000e+02,-2.485090556185427317e+02
-2.492343750000000000e+08,-2.646824725115831143e+02,-3.000000000000000000e+02,-2.494076348293402248e+02
-2.491125000000000000e+08,-2.722166551917940183e+02,-3.000000000000000000e+02,-2.503508262723617577e+02
-2.489906250000000000e+08,-2.588278322689970992e+02,-3.000000000000000000e+02,-2.508205544845932593e+02
-2.488687500000000000e+08,-2.540684176663529001e+02,-3.000000000000000000e+02,-2.507934109674394563e+02
-2.487468750000000000e+08,-2.544761197975035429e+02,-3.000000000000000000e+02,-2.519276288125965095e+02
-2.486250000000000000e+08,-2.684967740469965634e+02,-3.000000000000000000e+02,-2.542557725352102409e+02
-2.485031250000000000e+08,-2.462379529530537070e+02,-3.000000000000000000e+02,-2.454899444855913657e+02
-2.483812500000000000e+08,-2.378320930037640153e+02,-3.000000000000000000e+02,-2.379101918912407996e+02
-2.482593750000000000e+08,-2.324447630927230648e+02,-3.000000000000000000e+02,-2.326894985200534620e+02
-2.481375000000000000e+08,-2.286288106047863948e+02,-3.000000000000000000e+02,-2.289242035592481272e+02
-2.480156250000000000e+08,-2.258988033270542815e+02,-3.000000000000000000e+02,-2.262105739968324940e+02
-2.478937500000000000e+08,-2.240335253562841729e+02,-3.000000000000000000e+02,-2.243495927487813617e+02
-2.477718750000000000e+08,-2.229207028005288009e+02,-3.000000000000000000e+02,-2.232368876859016495e+02
-2.476500000000000000e+08,-2.225065076214693818e+02,-3.000000000000000000e+02,-2.228218474132434324e+02
-2.475281250000000000e+08,-2.227770243186170944e+02,-3.000000000000000000e+02,-2.230919998707746572e+02
-2.474062500000000000e+08,-2.237537629453768488e+02,-3.000000000000000000e+02,-2.240696468209999352e+02
-2.472843750000000000e+08,-2.254995542035536005e+02,-3.000000000000000000e+02,-2.258183038659554143e+02
-2.471625000000000000e+08,-2.281392437374908582e+02,-3.000000000000000000e+02,-2.284637039335624422e+02
-2.470406250000000000e+08,-2.319147204105942421e+02,-3.000000000000000000e+02,-2.322485140309288738e+02
-2.469187500000000000e+08,-2.373503802271926872e+02,-3.000000000000000000e+02,-2.376908523532773643e+02
-2.467968750000000000e+08,-2.458942688698558925e+02,-3.000000000000000000e+02,-2.460903734254679591e+02
-2.466750000000000000e+08,-2.556705711357478776e+02,-3.000000000000000000e+02,-2.537665172474930273e+02
-2.465531250000000000e+08,-2.505704164230549225e+02,-3.000000000000000000e+02,-2.497547687100372400e+02
-2.464312500000000000e+08,-2.499532143029146596e+02,-3.000000000000000000e+02,-2.485405985764156185e+02
-2.463093750000000000e+08,-2.503561892511752944e+02,-3.000000000000000000e+02,-2.472306069604604204e+02
-2.461875000000000000e+08,-2.494065802659166025e+02,-3.000000000000000000e+02,-2.450456454314066264e+02
-2.460656250000000000e+08,-2.479891107409689539e+02,-3.000000000000000000e+02,-2.431552813146630854e+02
-2.459437500000000000e+08,-2.470455139708181491e+02,-3.000000000000000000e+02,-2.419976252511979169e+02
-2.458218750000000000e+08,-2.464934294573169211e+02,-3.000000000000000000e+02,-2.415239730487302268e+02
-2.457000000000000000e+08,-2.459719343525769659e+02,-3.000000000000000000e+02,-2.415677220090549611e+02
-2.455781250000000000e+08,-2.453342421744986552e+02,-3.000000000000000000e+02,-2.419330851088301984e+02
-2.454562500000000000e+08,-2.449641562049563674e+02,-3.000000000000000000e+02,-2.425811842314834621e+02
-2.453343750000000000e+08,-2.454703600557968457e+02,-3.000000000000000000e+02,-2.438187652528280864e+02
-2.452125000000000000e+08,-2.466739675613683573e+02,-3.000000000000000000e+02,-2.457548132899185021e+02
-2.450906250000000000e+08,-2.457946540170956951e+02,-3.000000000000000000e+02,-2.459862626769812266e+02
-2.449687500000000000e+08,-2.431763129927166744e+02,-3.000000000000000000e+02,-2.436430115708951689e+02
-2.448468750000000000e+08,-2.426980998340689553e+02,-3.000000000000000000e+02,-2.430802806023853861e+02
-2.447250000000000000e+08,-2.454062411504942247e+02,-3.000000000000000000e+02,-2.450787271243083296e+02
-2.446031250000000000e+08,-2.370423551187424493e+02,-3.000000000000000000e+02,-2.366205178841101429e+02
-2.444812500000000000e+08,-2.288748497260086197e+02,-3.000000000000000000e+02,-2.286736570310606282e+02
-2.443593750000000000e+08,-2.234105718745091167e+02,-3.000000000000000000e+02,-2.232714523071580288e+02
-2.442375000000000000e+08,-2.195333849532040631e+02,-3.000000000000000000e+02,-2.194160898170756298e+02
