freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.496000000000000000e+08,-2.380617813699169290e+02,-2.998212428520013191e+02,-1.347438848872700987e+02
-2.494781250000000000e+08,-2.305696536894009796e+02,-2.997472108179392762e+02,-1.331792126341138953e+02
-2.493562500000000000e+08,-2.274489823501045862e+02,-2.997835060952107824e+02,-1.316631324461553447e+02
-2.492343750000000000e+08,-2.296837488270383005e+02,-2.998575752028015700e+02,-1.305697708178552148e+02
-2.491125000000000000e+08,-2.372238941215598800e+02,-2.998216835310889792e+02,-1.299760114445348620e+02
-2.489906250000000000e+08,-2.238281637409203881e+02,-2.997477480855273484e+02,-1.298829775532276756e+02
-2.488687500000000000e+08,-2.190685284547431877e+02,-2.997809233603862253e+02,-1.302605813855711858e+02
-2.487468750000000000e+08,-2.194762414903476611e+02,-2.998547642869787069e+02,-1.309930039870617975e+02
-2.486250000000000000e+08,-2.334998464484743863e+02,-2.998220010697182829e+02,-1.316633437481280851e+02
-2.485031250000000000e+08,-2.112379712106277339e+02,-2.997482222132017000e+02,-1.312592658341512220e+02
-2.483812500000000000e+08,-2.028320956392231267e+02,-2.997782771866352505e+02,-1.291210164132199338e+02
-2.482593750000000000e+08,-1.974447638550188060e+02,-2.998518293646504844e+02,-1.261647980688101995e+02
-2.481375000000000000e+08,-1.936288109213984399e+02,-2.998221950407287295e+02,-1.233708927423506054e+02
-2.480156250000000000e+08,-1.908988034959143931e+02,-2.997486329780763867e+02,-1.211022597268599270e+02
-2.478937500000000000e+08,-1.890335254661846704e+02,-2.997755667185230095e+02,-1.194501478420367704e+02
-2.477718750000000000e+08,-1.879207028855871897e+02,-2.998487694454668144e+02,-1.184340527332190049e+02
-2.476500000000000000e+08,-1.875065076987905286e+02,-2.998222649284436443e+02,-1.180625809483375122e+02
-2.475281250000000000e+08,-1.877770244009073792e+02,-2.997489801072441651e+02,-1.183525884013363481e+02
-2.474062500000000000e+08,-1.887537630484207511e+02,-2.997727910559832480e+02,-1.193379994336599026e+02
-2.472843750000000000e+08,-1.904995543575823262e+02,-2.998455834513992500e+02,-1.210762759247814131e+02
-2.471625000000000000e+08,-1.931392440203509580e+02,-2.998222101272427267e+02,-1.236502627702516008e+02
-2.470406250000000000e+08,-1.969147210853068373e+02,-2.997492632791480105e+02,-1.271364472903681815e+02
-2.469187500000000000e+08,-2.023503825859603182e+02,-2.997699492547006912e+02,-1.313812723092303827e+02
-2.467968750000000000e+08,-2.108942857382855891e+02,-2.998422702221434406e+02,-1.352023697003127154e+02
-2.466750000000000000e+08,-2.206707313540475752e+02,-2.998220299453802227e+02,-1.369282543376180570e+02
-2.465531250000000000e+08,-2.155704659328368678e+02,-2.997494821266006966e+02,-1.374638946152864776e+02
-2.464312500000000000e+08,-2.149532572536469388e+02,-2.997670403268593873e+02,-1.372045929616430158e+02
-2.463093750000000000e+08,-2.153562363780124542e+02,-2.998388285107984643e+02,-1.356503831206051132e+02
-2.461875000000000000e+08,-2.144066181369289836e+02,-2.998217235932186213e+02,-1.337002659500247148e+02
-2.460656250000000000e+08,-2.129891380659125844e+02,-2.997496362284729798e+02,-1.322202513730956639e+02
-2.459437500000000000e+08,-2.120455359595102891e+02,-2.997640632340929869e+02,-1.314083257547928270e+02
-2.458218750000000000e+08,-2.114934488211269752e+02,-2.998352569822197893e+02,-1.312270010729346268e+02
-2.457000000000000000e+08,-2.109719515253817690e+02,-2.998212901980831475e+02,-1.316046386195736204e+02
-2.455781250000000000e+08,-2.103342570021388269e+02,-2.997497251210554623e+02,-1.324685407234911452e+02
-2.454562500000000000e+08,-2.099641698213794427e+02,-2.997610168989494355e+02,-1.337227354028239574e+02
-2.453343750000000000e+08,-2.104703753555281764e+02,-2.998315542177466568e+02,-1.352002932218006208e+02
-2.452125000000000000e+08,-2.116739877471141824e+02,-2.998207287881449474e+02,-1.365812427637690121e+02
-2.450906250000000000e+08,-2.107946705030144869e+02,-2.997497482821548829e+02,-1.372952526818192496e+02
-2.449687500000000000e+08,-2.081763220142131843e+02,-2.997579001911851151e+02,-1.367884181634608183e+02
-2.448468750000000000e+08,-2.076981079149222751e+02,-2.998277187088061737e+02,-1.352548761730048739e+02
-2.447250000000000000e+08,-2.104062562260006644e+02,-2.998200383025252336e+02,-1.333352246304437756e+02
-2.446031250000000000e+08,-2.020423573160086050e+02,-2.997497051432517878e+02,-1.313232664730570889e+02
-2.444812500000000000e+08,-1.938748500610749943e+02,-2.997547119360149850e+02,-1.291948030301421397e+02
-2.443593750000000000e+08,-1.884105719697238612e+02,-2.998237488576712622e+02,-1.269609954486744243e+02
-2.442375000000000000e+08,-1.845333849921968863e+02,-2.998192175804443877e+02,-1.248059097351667077e+02
-2.441156250000000000e+08,-1.817681984190538742e+02,-2.997495950789738117e+02,-1.229574657077902344e+02
-2.439937500000000000e+08,-1.798868279336062699e+02,-2.997514509065651396e+02,-1.215710279307123756e+02
-2.438718750000000000e+08,-1.787694309982008178e+02,-2.998196429824228630e+02,-1.207241419440072292e+02
-2.437500000000000000e+08,-1.783543650099371689e+02,-2.998182653733141478e+02,-1.204489579924400147e+02
-2.436281250000000000e+08,-1.786182940536775163e+02,-2.997494174166586731e+02,-1.207559179715865412e+02
-2.435062500000000000e+08,-1.795695229505475936e+02,-2.997481158307392661e+02,-1.216413819837906942e+02
-2.433843750000000000e+08,-1.812498769173267021e+02,-2.998153993043605965e+02,-1.230785587758934838e+02
-2.432625000000000000e+08,-1.837463022588762556e+02,-2.998171803297119595e+02,-1.249852697446716974e+02
-2.431406250000000000e+08,-1.872204957027195746e+02,-2.997491714224714201e+02,-1.271627925309337712e+02
-2.430187500000000000e+08,-1.919820716178334123e+02,-2.997447053819018379e+02,-1.292526866013305948e+02
-2.428968750000000000e+08,-1.986585234478143889e+02,-2.998110159588723036e+02,-1.308674246815913307e+02
-2.427750000000000000e+08,-2.073787533832482382e+02,-2.998159610012898497e+02,-1.318522537212068073e+02
-2.426531250000000000e+08,-2.082625906986602331e+02,-2.997488563127877796e+02,-1.322503322867782458e+02
-2.425312500000000000e+08,-2.071639198892709715e+02,-2.997412181850847901e+02,-1.321419365091307441e+02
-2.424093750000000000e+08,-2.079869406197520050e+02,-2.998064909875163266e+02,-1.317131395712798962e+02
