freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-1.870661410224248016e+02,-2.100000000000000000e+02,-1.572881014765495138e+02
-2.494781250000000000e+08,-1.798108630333357496e+02,-2.100000000000000000e+02,-1.577055616377762135e+02
-2.493562500000000000e+08,-1.767088570034738382e+02,-2.100000000000000000e+02,-1.584290718356104151e+02
-2.492343750000000000e+08,-1.789398460886300768e+02,-2.100000000000000000e+02,-1.593708171379700218e+02
-2.491125000000000000e+08,-1.863474512661808831e+02,-2.100000000000000000e+02,-1.604447206587012147e+02
-2.489906250000000000e+08,-1.730471703865450195e+02,-2.100000000000000000e+02,-1.615045602807963974e+02
-2.488687500000000000e+08,-1.682836720403890922e+02,-2.100000000000000000e+02,-1.624647977682808175e+02
-2.487468750000000000e+08,-1.686803950901562530e+02,-2.100000000000000000e+02,-1.638664074540068611e+02
-2.486250000000000000e+08,-1.826811129786945571e+02,-2.100000000000000000e+02,-1.648720206308398701e+02
-2.485031250000000000e+08,-1.604434251350134844e+02,-2.100000000000000000e+02,-1.586982944422098001e+02
-2.483812500000000000e+08,-1.520312046818273473e+02,-2.100000000000000000e+02,-1.518884963466315696e+02
-2.482593750000000000e+08,-1.466405241484341104e+02,-2.100000000000000000e+02,-1.468597132717034981e+02
-2.481375000000000000e+08,-1.428227673031585425e+02,-2.100000000000000000e+02,-1.431619652343615030e+02
-2.480156250000000000e+08,-1.400919966447741842e+02,-2.100000000000000000e+02,-1.404779692786722478e+02
-2.478937500000000000e+08,-1.382266945534651086e+02,-2.100000000000000000e+02,-1.386333277235509627e+02
-2.477718750000000000e+08,-1.371143634709007131e+02,-2.100000000000000000e+02,-1.375326084443947821e+02
-2.476500000000000000e+08,-1.367009911543370322e+02,-2.100000000000000000e+02,-1.371290026766169774e+02
-2.475281250000000000e+08,-1.369725000679790412e+02,-2.100000000000000000e+02,-1.374119953411449728e+02
-2.474062500000000000e+08,-1.379502540025907535e+02,-2.100000000000000000e+02,-1.384053793936952843e+02
-2.472843750000000000e+08,-1.396969622826945567e+02,-2.100000000000000000e+02,-1.401746552191511057e+02
