freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-2.097234926095077299e+02,-2.099999999850500103e+02,-2.097893776923227733e+02
-2.494781250000000000e+08,-2.097914085206932100e+02,-2.099999999898755618e+02,-2.098188836652250302e+02
-2.493562500000000000e+08,-2.096815869373423311e+02,-2.099999999974706952e+02,-2.096855170902062468e+02
-2.492343750000000000e+08,-2.096207799765334698e+02,-2.099999999952707981e+02,-2.096431174909860715e+02
-2.491125000000000000e+08,-2.097247949015253425e+02,-2.099999999904286483e+02,-2.097341220836402726e+02
-2.489906250000000000e+08,-2.097788091060566558e+02,-2.099999999936916311e+02,-2.097417056841626959e+02
-2.488687500000000000e+08,-2.096753694777204942e+02,-2.099999999971937541e+02,-2.096449867946976156e+02
-2.487468750000000000e+08,-2.096328185244262841e+02,-2.099999999911842110e+02,-2.096522847575557194e+02
-2.486250000000000000e+08,-2.097255601465687960e+02,-2.099999999854708221e+02,-2.097464172101462054e+02
-2.485031250000000000e+08,-2.097085770556624880e+02,-2.099999999910637030e+02,-2.096889433541757057e+02
-2.483812500000000000e+08,-2.095256959522357647e+02,-2.099999999978792857e+02,-2.095252767397896605e+02
-2.482593750000000000e+08,-2.094861601834241469e+02,-2.099999999938090696e+02,-2.095535255968005686e+02
-2.481375000000000000e+08,-2.096572868463522923e+02,-2.099999999881337658e+02,-2.097391374335790033e+02
-2.480156250000000000e+08,-2.095531336209543269e+02,-2.099999999927002818e+02,-2.095883361876266804e+02
-2.478937500000000000e+08,-2.088349442514241332e+02,-2.099999999982107965e+02,-2.088785380989432952e+02
-2.477718750000000000e+08,-2.079559085814589139e+02,-2.099999999930194576e+02,-2.080550119916158565e+02
-2.476500000000000000e+08,-2.074422675836664212e+02,-2.099999999868140321e+02,-2.075604412518999879e+02
-2.475281250000000000e+08,-2.074602017920170738e+02,-2.099999999913770807e+02,-2.075555944608121308e+02
-2.474062500000000000e+08,-2.079721527459017807e+02,-2.099999999967298550e+02,-2.080505277176170011e+02
-2.472843750000000000e+08,-2.088164306623970674e+02,-2.099999999909973099e+02,-2.088997183674578082e+02
-2.471625000000000000e+08,-2.096057462418621071e+02,-2.099999999847552203e+02,-2.096615085057971442e+02
-2.470406250000000000e+08,-2.098755991397343337e+02,-2.099999999905949721e+02,-2.098667914480391801e+02
-2.469187500000000000e+08,-2.097174491777728349e+02,-2.099999999979332301e+02,-2.097083909269896367e+02
-2.467968750000000000e+08,-2.096251528635912109e+02,-2.099999999935287178e+02,-2.096693382252890956e+02
-2.466750000000000000e+08,-2.097398531675211188e+02,-2.099999999873139132e+02,-2.097870621450910562e+02
-2.465531250000000000e+08,-2.098041058404850219e+02,-2.099999999920769369e+02,-2.097873752091471715e+02
-2.464312500000000000e+08,-2.096903524181196872e+02,-2.099999999975651122e+02,-2.096457916772713475e+02
-2.463093750000000000e+08,-2.096139657257797353e+02,-2.099999999911169652e+02,-2.096029562465644176e+02
-2.461875000000000000e+08,-2.097007876582010226e+02,-2.099999999838194640e+02,-2.097122294002676313e+02
-2.460656250000000000e+08,-2.097956615601854082e+02,-2.099999999893807967e+02,-2.098035784312946248e+02
-2.459437500000000000e+08,-2.097783665768973833e+02,-2.099999999972017122e+02,-2.098123497903451948e+02
-2.458218750000000000e+08,-2.097517620764594994e+02,-2.099999999932780383e+02,-2.098186162105238850e+02
-2.457000000000000000e+08,-2.097691519147162467e+02,-2.099999999872930516e+02,-2.097917881426076860e+02
-2.455781250000000000e+08,-2.097256078661002903e+02,-2.099999999919544962e+02,-2.096601474934509497e+02
-2.454562500000000000e+08,-2.096221909400408663e+02,-2.099999999966559585e+02,-2.095480640377758732e+02
-2.453343750000000000e+08,-2.096053688903928105e+02,-2.099999999892478399e+02,-2.096025444790735150e+02
-2.452125000000000000e+08,-2.096822866677939032e+02,-2.099999999823028247e+02,-2.097206101926332735e+02
-2.450906250000000000e+08,-2.097055525382039036e+02,-2.099999999895013048e+02,-2.097189265161321146e+02
-2.449687500000000000e+08,-2.096742746389699619e+02,-2.099999999978031724e+02,-2.096776096427255993e+02
-2.448468750000000000e+08,-2.097141021618325567e+02,-2.099999999918232447e+02,-2.097426237262661743e+02
-2.447250000000000000e+08,-2.097211161652923010e+02,-2.099999999836762186e+02,-2.097376582781583920e+02
-2.446031250000000000e+08,-2.094379035860874865e+02,-2.099999999893012728e+02,-2.094016517319653303e+02
-2.444812500000000000e+08,-2.089355788039590038e+02,-2.099999999975674427e+02,-2.088824514145653666e+02
-2.443593750000000000e+08,-2.084027021073238188e+02,-2.099999999928256216e+02,-2.083579152310245490e+02
-2.442375000000000000e+08,-2.075502348580595822e+02,-2.099999999856272552e+02,-2.074853604123862851e+02
-2.441156250000000000e+08,-2.060109475013289853e+02,-2.099999999906414132e+02,-2.059269137851673008e+02
-2.439937500000000000e+08,-2.041961018658964804e+02,-2.099999999966915993e+02,-2.041247328232200289e+02
-2.438718750000000000e+08,-2.027756369230193627e+02,-2.099999999895516680e+02,-2.027172328158237633e+02
-2.437500000000000000e+08,-2.020872568091424455e+02,-2.099999999817554226e+02,-2.020223715920069480e+02
