freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-1.830530035609397146e+02,-2.100000000000000000e+02,-1.574080279884019262e+02
-2.494781250000000000e+08,-1.755680886183346274e+02,-2.100000000000000000e+02,-1.578254157041390044e+02
-2.493562500000000000e+08,-1.724482193808565285e+02,-2.100000000000000000e+02,-1.585090556185427317e+02
-2.492343750000000000e+08,-1.746824725115831143e+02,-2.100000000000000000e+02,-1.594076348293402248e+02
-2.491125000000000000e+08,-1.822166551917940183e+02,-2.100000000000000000e+02,-1.603508262723617577e+02
-2.489906250000000000e+08,-1.688278322689970992e+02,-2.100000000000000000e+02,-1.608205544845932593e+02
-2.488687500000000000e+08,-1.640684176663529001e+02,-2.100000000000000000e+02,-1.607934109674394563e+02
-2.487468750000000000e+08,-1.644761197975035429e+02,-2.100000000000000000e+02,-1.619276288125965095e+02
-2.486250000000000000e+08,-1.784967740469965634e+02,-2.100000000000000000e+02,-1.642557725352102409e+02
-2.485031250000000000e+08,-1.562379529530537070e+02,-2.100000000000000000e+02,-1.554899444855913657e+02
-2.483812500000000000e+08,-1.478320930037640153e+02,-2.100000000000000000e+02,-1.479101918912407996e+02
-2.482593750000000000e+08,-1.424447630927230648e+02,-2.100000000000000000e+02,-1.426894985200534620e+02
-2.481375000000000000e+08,-1.386288106047863948e+02,-2.100000000000000000e+02,-1.389242035592481272e+02
-2.480156250000000000e+08,-1.358988033270542815e+02,-2.100000000000000000e+02,-1.362105739968324940e+02
-2.478937500000000000e+08,-1.340335253562841729e+02,-2.100000000000000000e+02,-1.343495927487813617e+02
-2.477718750000000000e+08,-1.329207028005288009e+02,-2.100000000000000000e+02,-1.332368876859016495e+02
-2.476500000000000000e+08,-1.325065076214693818e+02,-2.100000000000000000e+02,-1.328218474132434324e+02
-2.475281250000000000e+08,-1.327770243186170944e+02,-2.100000000000000000e+02,-1.330919998707746572e+02
-2.474062500000000000e+08,-1.337537629453768488e+02,-2.100000000000000000e+02,-1.340696468209999352e+02
-2.472843750000000000e+08,-1.354995542035536005e+02,-2.100000000000000000e+02,-1.358183038659554143e+02
-2.471625000000000000e+08,-1.381392437374908582e+02,-2.100000000000000000e+02,-1.384637039335624422e+02
-2.470406250000000000e+08,-1.419147204105942421e+02,-2.100000000000000000e+02,-1.422485140309288738e+02
-2.469187500000000000e+08,-1.473503802271926872e+02,-2.100000000000000000e+02,-1.476908523532773643e+02
-2.467968750000000000e+08,-1.558942688698558925e+02,-2.100000000000000000e+02,-1.560903734254679591e+02
-2.466750000000000000e+08,-1.656705711357478776e+02,-2.100000000000000000e+02,-1.637665172474930273e+02
-2.465531250000000000e+08,-1.605704164230549225e+02,-2.100000000000000000e+02,-1.597547687100372400e+02
-2.464312500000000000e+08,-1.599532143029146596e+02,-2.100000000000000000e+02,-1.585405985764156185e+02
-2.463093750000000000e+08,-1.603561892511752944e+02,-2.100000000000000000e+02,-1.572306069604604204e+02
-2.461875000000000000e+08,-1.594065802659166025e+02,-2.100000000000000000e+02,-1.550456454314066264e+02
-2.460656250000000000e+08,-1.579891107409689539e+02,-2.100000000000000000e+02,-1.531552813146630854e+02
-2.459437500000000000e+08,-1.570455139708181491e+02,-2.100000000000000000e+02,-1.519976252511979169e+02
-2.458218750000000000e+08,-1.564934294573169211e+02,-2.100000000000000000e+02,-1.515239730487302268e+02
-2.457000000000000000e+08,-1.559719343525769659e+02,-2.100000000000000000e+02,-1.515677220090549611e+02
-2.455781250000000000e+08,-1.553342421744986552e+02,-2.100000000000000000e+02,-1.519330851088301984e+02
-2.454562500000000000e+08,-1.549641562049563674e+02,-2.100000000000000000e+02,-1.525811842314834621e+02
-2.453343750000000000e+08,-1.554703600557968457e+02,-2.100000000000000000e+02,-1.538187652528280864e+02
-2.452125000000000000e+08,-1.566739675613683573e+02,-2.100000000000000000e+02,-1.557548132899185021e+02
-2.450906250000000000e+08,-1.557946540170956951e+02,-2.100000000000000000e+02,-1.559862626769812266e+02
-2.449687500000000000e+08,-1.531763129927166744e+02,-2.100000000000000000e+02,-1.536430115708951689e+02
-2.448468750000000000e+08,-1.526980998340689553e+02,-2.100000000000000000e+02,-1.530802806023853861e+02
-2.447250000000000000e+08,-1.554062411504942247e+02,-2.100000000000000000e+02,-1.550787271243083296e+02
-2.446031250000000000e+08,-1.470423551187424493e+02,-2.100000000000000000e+02,-1.466205178841101429e+02
-2.444812500000000000e+08,-1.388748497260086197e+02,-2.100000000000000000e+02,-1.386736570310606282e+02
-2.443593750000000000e+08,-1.334105718745091167e+02,-2.100000000000000000e+02,-1.332714523071580288e+02
-2.442375000000000000e+08,-1.295333849532040631e+02,-2.100000000000000000e+02,-1.294160898170756298e+02
-2.441156250000000000e+08,-1.267681983984255396e+02,-2.100000000000000000e+02,-1.266592333827985328e+02
-2.439937500000000000e+08,-1.248868279202303597e+02,-2.100000000000000000e+02,-1.247807100238867406e+02
-2.438718750000000000e+08,-1.237694309878592946e+02,-2.100000000000000000e+02,-1.236636492378995911e+02
-2.437500000000000000e+08,-1.233543650005381949e+02,-2.100000000000000000e+02,-1.232476954260238244e+02
-2.436281250000000000e+08,-1.236182940436896729e+02,-2.100000000000000000e+02,-1.235101833812631753e+02
-2.435062500000000000e+08,-1.245695229381139768e+02,-2.100000000000000000e+02,-1.244599380212597168e+02
-2.433843750000000000e+08,-1.262498768990190570e+02,-2.100000000000000000e+02,-1.261395453319730393e+02
-2.432625000000000000e+08,-1.287463022263467565e+02,-2.100000000000000000e+02,-1.286377164879334032e+02
-2.431406250000000000e+08,-1.322204956303265533e+02,-2.100000000000000000e+02,-1.321212966922626038e+02
-2.430187500000000000e+08,-1.369820714011356699e+02,-2.100000000000000000e+02,-1.369182748544288870e+02
-2.428968750000000000e+08,-1.436585224397262266e+02,-2.100000000000000000e+02,-1.437442771432872917e+02
-2.427750000000000000e+08,-1.523787458752924522e+02,-2.100000000000000000e+02,-1.531069402611882424e+02
-2.426531250000000000e+08,-1.532625814961647563e+02,-2.100000000000000000e+02,-1.531569039874480609e+02
-2.425312500000000000e+08,-1.521639127436731656e+02,-2.100000000000000000e+02,-1.515882033376936420e+02
-2.424093750000000000e+08,-1.529869319831904022e+02,-2.100000000000000000e+02,-1.521260873405559551e+02
-2.422875000000000000e+08,-1.540451197116755395e+02,-2.100000000000000000e+02,-1.530121327443876282e+02
-2.421656250000000000e+08,-1.543244584885022732e+02,-2.100000000000000000e+02,-1.533255843547557333e+02
-2.420437500000000000e+08,-1.540562086523106871e+02,-2.100000000000000000e+02,-1.531894899593506238e+02
-2.419218750000000000e+08,-1.535333921847214640e+02,-2.100000000000000000e+02,-1.528516753786638276e+02
-2.418000000000000000e+08,-1.529568692129039391e+02,-2.100000000000000000e+02,-1.525089854922564143e+02
-2.416781250000000000e+08,-1.526680631807289501e+02,-2.100000000000000000e+02,-1.524763377582583246e+02
-2.415562500000000000e+08,-1.529631431328431574e+02,-2.100000000000000000e+02,-1.530627103594248979e+02
-2.414343750000000000e+08,-1.539958801959578238e+02,-2.100000000000000000e+02,-1.544915771840627485e+02
-2.413125000000000000e+08,-1.556551761064008303e+02,-2.100000000000000000e+02,-1.567112328924526139e+02
-2.411906250000000000e+08,-1.569691600294439127e+02,-2.100000000000000000e+02,-1.582395763608764696e+02
-2.410687500000000000e+08,-1.567430561156729141e+02,-2.100000000000000000e+02,-1.572478240421802127e+02
-2.409468750000000000e+08,-1.564570578384764588e+02,-2.100000000000000000e+02,-1.562817093644647457e+02
-2.408250000000000000e+08,-1.569618441157185771e+02,-2.100000000000000000e+02,-1.562633068620646668e+02
-2.407031250000000000e+08,-1.521729070477745722e+02,-2.100000000000000000e+02,-1.516734227665739354e+02
-2.405812500000000000e+08,-1.452173895849733185e+02,-2.100000000000000000e+02,-1.449451054447353897e+02
-2.404593750000000000e+08,-1.399688427673496562e+02,-2.100000000000000000e+02,-1.397586863891187363e+02
-2.403375000000000000e+08,-1.361360606853835407e+02,-2.100000000000000000e+02,-1.359494389067462805e+02
-2.402156250000000000e+08,-1.333657651015295755e+02,-2.100000000000000000e+02,-1.331906635696906278e+02
-2.400937500000000000e+08,-1.314566607031195815e+02,-2.100000000000000000e+02,-1.312872015472479461e+02
