freq_hz,psd_desired_db_per_hz,psd_interferer_db_per_hz,psd_mixed_db_per_hz
-2.496000000000000000e+08,-2.570557552009990445e+02,-3.000000000000000000e+02,-2.570557552009990445e+02
-2.494781250000000000e+08,-2.445430678421981838e+02,-3.000000000000000000e+02,-2.445430678421981838e+02
-2.493562500000000000e+08,-2.407065679214823604e+02,-3.000000000000000000e+02,-2.407065679214823604e+02
-2.492343750000000000e+08,-2.420525956595100752e+02,-3.000000000000000000e+02,-2.420525956595100752e+02
-2.491125000000000000e+08,-2.553233548302115707e+02,-3.000000000000000000e+02,-2.553233548302115707e+02
-2.489906250000000000e+08,-2.388167604596728211e+02,-3.000000000000000000e+02,-2.388167604596728211e+02
-2.488687500000000000e+08,-2.331119063216784753e+02,-3.000000000000000000e+02,-2.331119063216784753e+02
-2.487468750000000000e+08,-2.331100853336964462e+02,-3.000000000000000000e+02,-2.331100853336964462e+02
-2.486250000000000000e+08,-2.431432819699226684e+02,-3.000000000000000000e+02,-2.431432819699226684e+02
-2.485031250000000000e+08,-2.242959359660347900e+02,-3.000000000000000000e+02,-2.242959359660347900e+02
-2.483812500000000000e+08,-2.158694354036890957e+02,-3.000000000000000000e+02,-2.158694354036890957e+02
-2.482593750000000000e+08,-2.104225272707455474e+02,-3.000000000000000000e+02,-2.104225272707455474e+02
-2.481375000000000000e+08,-2.065573486606696747e+02,-3.000000000000000000e+02,-2.065573486606696747e+02
-2.480156250000000000e+08,-2.037939410318415128e+02,-3.000000000000000000e+02,-2.037939410318415128e+02
-2.478937500000000000e+08,-2.019122116379972738e+02,-3.000000000000000000e+02,-2.019122116379972738e+02
-2.477718750000000000e+08,-2.008009733869603508e+02,-3.000000000000000000e+02,-2.008009733869603508e+02
-2.476500000000000000e+08,-2.004084905699479862e+02,-3.000000000000000000e+02,-2.004084905699479862e+02
-2.475281250000000000e+08,-2.007246711707466886e+02,-3.000000000000000000e+02,-2.007246711707466886e+02
-2.474062500000000000e+08,-2.017777180586804207e+02,-3.000000000000000000e+02,-2.017777180586804207e+02
-2.472843750000000000e+08,-2.036422563922513689e+02,-3.000000000000000000e+02,-2.036422563922513689e+02
-2.471625000000000000e+08,-2.064645759157605482e+02,-3.000000000000000000e+02,-2.064645759157605482e+02
-2.470406250000000000e+08,-2.105250037994366039e+02,-3.000000000000000000e+02,-2.105250037994366039e+02
-2.469187500000000000e+08,-2.163712297351495124e+02,-3.000000000000000000e+02,-2.163712297351495124e+02
-2.467968750000000000e+08,-2.241529184109863877e+02,-3.000000000000000000e+02,-2.241529184109863877e+02
-2.466750000000000000e+08,-2.254051988789025245e+02,-3.000000000000000000e+02,-2.254051988789025245e+02
-2.465531250000000000e+08,-2.237829122547749421e+02,-3.000000000000000000e+02,-2.237829122547749421e+02
-2.464312500000000000e+08,-2.240448709770780056e+02,-3.000000000000000000e+02,-2.240448709770780056e+02
-2.463093750000000000e+08,-2.248523039748620533e+02,-3.000000000000000000e+02,-2.248523039748620533e+02
-2.461875000000000000e+08,-2.251560798189623540e+02,-3.000000000000000000e+02,-2.251560798189623540e+02
-2.460656250000000000e+08,-2.249471493569326697e+02,-3.000000000000000000e+02,-2.249471493569326697e+02
-2.459437500000000000e+08,-2.244943009034294619e+02,-3.000000000000000000e+02,-2.244943009034294619e+02
-2.458218750000000000e+08,-2.239932355403220470e+02,-3.000000000000000000e+02,-2.239932355403220470e+02
-2.457000000000000000e+08,-2.235624821344849238e+02,-3.000000000000000000e+02,-2.235624821344849238e+02
-2.455781250000000000e+08,-2.229810108406223890e+02,-3.000000000000000000e+02,-2.229810108406223890e+02
-2.454562500000000000e+08,-2.220781485583610220e+02,-3.000000000000000000e+02,-2.220781485583610220e+02
-2.453343750000000000e+08,-2.212779884285167498e+02,-3.000000000000000000e+02,-2.212779884285167498e+02
-2.452125000000000000e+08,-2.209437966209749220e+02,-3.000000000000000000e+02,-2.209437966209749220e+02
-2.450906250000000000e+08,-2.205753392817022132e+02,-3.000000000000000000e+02,-2.205753392817022132e+02
-2.449687500000000000e+08,-2.194496551034230833e+02,-3.000000000000000000e+02,-2.194496551034230833e+02
-2.448468750000000000e+08,-2.181903495335967023e+02,-3.000000000000000000e+02,-2.181903495335967023e+02
-2.447250000000000000e+08,-2.165642958965284777e+02,-3.000000000000000000e+02,-2.165642958965284777e+02
-2.446031250000000000e+08,-2.119507107351029163e+02,-3.000000000000000000e+02,-2.119507107351029163e+02
-2.444812500000000000e+08,-2.061542086335801116e+02,-3.000000000000000000e+02,-2.061542086335801116e+02
-2.443593750000000000e+08,-2.013330974012363868e+02,-3.000000000000000000e+02,-2.013330974012363868e+02
-2.442375000000000000e+08,-1.976513680184416444e+02,-3.000000000000000000e+02,-1.976513680184416444e+02
-2.441156250000000000e+08,-1.949430757650472970e+02,-3.000000000000000000e+02,-1.949430757650472970e+02
-2.439937500000000000e+08,-1.930706825554437387e+02,-3.000000000000000000e+02,-1.930706825554437387e+02
-2.438718750000000000e+08,-1.919475030987826472e+02,-3.000000000000000000e+02,-1.919475030987826472e+02
-2.437500000000000000e+08,-1.915271930042001145e+02,-3.000000000000000000e+02,-1.915271930042001145e+02
-2.436281250000000000e+08,-1.917962768155839797e+02,-3.000000000000000000e+02,-1.917962768155839797e+02
-2.435062500000000000e+08,-1.927727337991742900e+02,-3.000000000000000000e+02,-1.927727337991742900e+02
-2.433843750000000000e+08,-1.945113468318488970e+02,-3.000000000000000000e+02,-1.945113468318488970e+02
-2.432625000000000000e+08,-1.971183297957291529e+02,-3.000000000000000000e+02,-1.971183297957291529e+02
-2.431406250000000000e+08,-2.007779526592910884e+02,-3.000000000000000000e+02,-2.007779526592910884e+02
-2.430187500000000000e+08,-2.057513064764988258e+02,-3.000000000000000000e+02,-2.057513064764988258e+02
-2.428968750000000000e+08,-2.117177697229521698e+02,-3.000000000000000000e+02,-2.117177697229521698e+02
-2.427750000000000000e+08,-2.145700220685047270e+02,-3.000000000000000000e+02,-2.145700220685047270e+02
-2.426531250000000000e+08,-2.143394331737917469e+02,-3.000000000000000000e+02,-2.143394331737917469e+02
-2.425312500000000000e+08,-2.151759758846673662e+02,-3.000000000000000000e+02,-2.151759758846673662e+02
-2.424093750000000000e+08,-2.170928281442438390e+02,-3.000000000000000000e+02,-2.170928281442438390e+02
-2.422875000000000000e+08,-2.187626982974252883e+02,-3.000000000000000000e+02,-2.187626982974252883e+02
-2.421656250000000000e+08,-2.192611246938178056e+02,-3.000000000000000000e+02,-2.192611246938178056e+02
-2.420437500000000000e+08,-2.194111855646431479e+02,-3.000000000000000000e+02,-2.194111855646431479e+02
-2.419218750000000000e+08,-2.199071373187238123e+02,-3.000000000000000000e+02,-2.199071373187238123e+02
-2.418000000000000000e+08,-2.206946991203531638e+02,-3.000000000000000000e+02,-2.206946991203531638e+02
-2.416781250000000000e+08,-2.214463969033804176e+02,-3.000000000000000000e+02,-2.214463969033804176e+02
-2.415562500000000000e+08,-2.218098375407188314e+02,-3.000000000000000000e+02,-2.218098375407188314e+02
-2.414343750000000000e+08,-2.216085364459457026e+02,-3.000000000000000000e+02,-2.216085364459457026e+02
-2.413125000000000000e+08,-2.210350917049390489e+02,-3.000000000000000000e+02,-2.210350917049390489e+02
-2.411906250000000000e+08,-2.203988777903286689e+02,-3.000000000000000000e+02,-2.203988777903286689e+02
-2.410687500000000000e+08,-2.198450448612743173e+02,-3.000000000000000000e+02,-2.198450448612743173e+02
-2.409468750000000000e+08,-2.194343006845104753e+02,-3.000000000000000000e+02,-2.194343006845104753e+02
-2.408250000000000000e+08,-2.188804431471498617e+02,-3.000000000000000000e+02,-2.188804431471498617e+02
-2.407031250000000000e+08,-2.166860719251289424e+02,-3.000000000000000000e+02,-2.166860719251289424e+02
-2.405812500000000000e+08,-2.124436376464626903e+02,-3.000000000000000000e+02,-2.124436376464626903e+02
-2.404593750000000000e+08,-2.080827819585157101e+02,-3.000000000000000000e+02,-2.080827819585157101e+02
-2.403375000000000000e+08,-2.045047531350610939e+02,-3.000000000000000000e+02,-2.045047531350610939e+02
-2.402156250000000000e+08,-2.017949741954527383e+02,-3.000000000000000000e+02,-2.017949741954527383e+02
-2.400937500000000000e+08,-1.998850123830693803e+02,-3.000000000000000000e+02,-1.998850123830693803e+02
-2.399718750000000000e+08,-1.987082212947687765e+02,-3.000000000000000000e+02,-1.987082212947687765e+02
-2.398500000000000000e+08,-1.982229795807614607e+02,-3.000000000000000000e+02,-1.982229795807614607e+02
-2.397281250000000000e+08,-1.984137481516430626e+02,-3.000000000000000000e+02,-1.984137481516430626e+02
-2.396062500000000000e+08,-1.992904407261477502e+02,-3.000000000000000000e+02,-1.992904407261477502e+02
-2.394843750000000000e+08,-2.008889736018293775e+02,-3.000000000000000000e+02,-2.008889736018293775e+02
-2.393625000000000000e+08,-2.032688947307571539e+02,-3.000000000000000000e+02,-2.032688947307571539e+02
-2.392406250000000000e+08,-2.064823735909461107e+02,-3.000000000000000000e+02,-2.064823735909461107e+02
-2.391187500000000000e+08,-2.103860701411962850e+02,-3.000000000000000000e+02,-2.103860701411962850e+02
-2.389968750000000000e+08,-2.139733114854337259e+02,-3.000000000000000000e+02,-2.139733114854337259e+02
-2.388750000000000000e+08,-2.156349823751710630e+02,-3.000000000000000000e+02,-2.156349823751710630e+02
-2.387531250000000000e+08,-2.162068843926144837e+02,-3.000000000000000000e+02,-2.162068843926144837e+02
-2.386312500000000000e+08,-2.170512462190675365e+02,-3.000000000000000000e+02,-2.170512462190675365e+02
-2.385093750000000000e+08,-2.181968731696968575e+02,-3.000000000000000000e+02,-2.181968731696968575e+02
-2.383875000000000000e+08,-2.191276969736412070e+02,-3.000000000000000000e+02,-2.191276969736412070e+02
-2.382656250000000000e+08,-2.196078877330146213e+02,-3.000000000000000000e+02,-2.196078877330146213e+02
-2.381437500000000000e+08,-2.198760429331448734e+02,-3.000000000000000000e+02,-2.198760429331448734e+02
-2.380218750000000000e+08,-2.201350015088382293e+02,-3.000000000000000000e+02,-2.201350015088382293e+02
-2.379000000000000000e+08,-2.203595645599482964e+02,-3.000000000000000000e+02,-2.203595645599482964e+02
-2.377781250000000000e+08,-2.204685065812292066e+02,-3.000000000000000000e+02,-2.204685065812292066e+02
-2.376562500000000000e+08,-2.204586709391832073e+02,-3.000000000000000000e+02,-2.204586709391832073e+02
-2.375343750000000000e+08,-2.204010193466566534e+02,-3.000000000000000000e+02,-2.204010193466566534e+02
-2.374125000000000000e+08,-2.203826839290227042e+02,-3.000000000000000000e+02,-2.203826839290227042e+02
-2.372906250000000000e+08,-2.204192732813761495e+02,-3.000000000000000000e+02,-2.204192732813761495e+02
-2.371687500000000000e+08,-2.203526166888266573e+02,-3.000000000000000000e+02,-2.203526166888266573e+02
-2.370468750000000000e+08,-2.198749346082427678e+02,-3.000000000000000000e+02,-2.198749346082427678e+02
-2.369250000000000000e+08,-2.187498611559527717e+02,-3.000000000000000000e+02,-2.187498611559527717e+02
-2.368031250000000000e+08,-2.169071384020669768e+02,-3.000000000000000000e+02,-2.169071384020669768e+02
-2.366812500000000000e+08,-2.144166220674107137e+02,-3.000000000000000000e+02,-2.144166220674107137e+02
-2.365593750000000000e+08,-2.116031064214429875e+02,-3.000000000000000000e+02,-2.116031064214429875e+02
-2.364375000000000000e+08,-2.089074743251541406e+02,-3.000000000000000000e+02,-2.089074743251541406e+02
-2.363156250000000000e+08,-2.066326743668179233e+02,-3.000000000000000000e+02,-2.066326743668179233e+02
-2.361937500000000000e+08,-2.049167462429369095e+02,-3.000000000000000000e+02,-2.049167462429369095e+02
-2.360718750000000000e+08,-2.038090226607313298e+02,-3.000000000000000000e+02,-2.038090226607313298e+02
-2.359500000000000000e+08,-2.033272955745476622e+02,-3.000000000000000000e+02,-2.033272955745476622e+02
-2.358281250000000000e+08,-2.034858115129927683e+02,-3.000000000000000000e+02,-2.034858115129927683e+02
-2.357062500000000000e+08,-2.043073032455983196e+02,-3.000000000000000000e+02,-2.043073032455983196e+02
-2.355843750000000000e+08,-2.058250890062836618e+02,-3.000000000000000000e+02,-2.058250890062836618e+02
-2.354625000000000000e+08,-2.080658825178904010e+02,-3.000000000000000000e+02,-2.080658825178904010e+02
-2.353406250000000000e+08,-2.109598112118295603e+02,-3.000000000000000000e+02,-2.109598112118295603e+02
-2.352187500000000000e+08,-2.140248435310160176e+02,-3.000000000000000000e+02,-2.140248435310160176e+02
-2.350968750000000000e+08,-2.160720584014985661e+02,-3.000000000000000000e+02,-2.160720584014985661e+02
-2.349750000000000000e+08,-2.166903016562501705e+02,-3.000000000000000000e+02,-2.166903016562501705e+02
-2.348531250000000000e+08,-2.169849349890469057e+02,-3.000000000000000000e+02,-2.169849349890469057e+02
-2.347312500000000000e+08,-2.176120304608070626e+02,-3.000000000000000000e+02,-2.176120304608070626e+02
-2.346093750000000000e+08,-2.185164857310022057e+02,-3.000000000000000000e+02,-2.185164857310022057e+02
-2.344875000000000000e+08,-2.193701516448979589e+02,-3.000000000000000000e+02,-2.193701516448979589e+02
-2.343656250000000000e+08,-2.198777187649113785e+02,-3.000000000000000000e+02,-2.198777187649113785e+02
-2.342437500000000000e+08,-2.199657473335280997e+02,-3.000000000000000000e+02,-2.199657473335280997e+02
-2.341218750000000000e+08,-2.197444519107074541e+02,-3.000000000000000000e+02,-2.197444519107074541e+02
-2.340000000000000000e+08,-2.193668350333081491e+02,-3.000000000000000000e+02,-2.193668350333081491e+02
-2.338781250000000000e+08,-2.189471358050891467e+02,-3.000000000000000000e+02,-2.189471358050891467e+02
-2.337562500000000000e+08,-2.185513554940135919e+02,-3.000000000000000000e+02,-2.185513554940135919e+02
-2.336343750000000000e+08,-2.182253024390159339e+02,-3.000000000000000000e+02,-2.182253024390159339e+02
-2.335125000000000000e+08,-2.179913153572318834e+02,-3.000000000000000000e+02,-2.179913153572318834e+02
-2.333906250000000000e+08,-2.177736258431434919e+02,-3.000000000000000000e+02,-2.177736258431434919e+02
-2.332687500000000000e+08,-2.173386054786142836e+02,-3.000000000000000000e+02,-2.173386054786142836e+02
-2.331468750000000000e+08,-2.164268371789302137e+02,-3.000000000000000000e+02,-2.164268371789302137e+02
-2.330250000000000000e+08,-2.149676678404155155e+02,-3.000000000000000000e+02,-2.149676678404155155e+02
-2.329031250000000000e+08,-2.129922545186896343e+02,-3.000000000000000000e+02,-2.129922545186896343e+02
-2.327812500000000000e+08,-2.105377993457082937e+02,-3.000000000000000000e+02,-2.105377993457082937e+02
-2.326593750000000000e+08,-2.078169462157340490e+02,-3.000000000000000000e+02,-2.078169462157340490e+02
-2.325375000000000000e+08,-2.051853339970676586e+02,-3.000000000000000000e+02,-2.051853339970676586e+02
-2.324156250000000000e+08,-2.029242199318111943e+02,-3.000000000000000000e+02,-2.029242199318111943e+02
-2.322937500000000000e+08,-2.011774137072190456e+02,-3.000000000000000000e+02,-2.011774137072190456e+02
-2.321718750000000000e+08,-2.000017597183679925e+02,-3.000000000000000000e+02,-2.000017597183679925e+02
