freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-1.830530035609397146e+02,-1.532761699439650727e+02,-1.522924361426066184e+02
-2.494781250000000000e+08,-1.755680886183346274e+02,-1.548597293175488403e+02,-1.529502332635476023e+02
-2.493562500000000000e+08,-1.724482193808565285e+02,-1.568191202942783491e+02,-1.536564144257265525e+02
-2.492343750000000000e+08,-1.746824725115831143e+02,-1.588094067846946871e+02,-1.546499438227949099e+02
-2.491125000000000000e+08,-1.822166551917940183e+02,-1.603306709855064298e+02,-1.561668967909064349e+02
-2.489906250000000000e+08,-1.688278322689970992e+02,-1.609138658406769196e+02,-1.579709132996002552e+02
-2.488687500000000000e+08,-1.640684176663529001e+02,-1.603112129728218065e+02,-1.589594055553643557e+02
-2.487468750000000000e+08,-1.644761197975035429e+02,-1.587721014243079765e+02,-1.589870695365308961e+02
-2.486250000000000000e+08,-1.784967740469965634e+02,-1.569236694429528427e+02,-1.585557553772215726e+02
-2.485031250000000000e+08,-1.562379529530537070e+02,-1.552222164308222432e+02,-1.542898626580848997e+02
-2.483812500000000000e+08,-1.478320930037640153e+02,-1.538280346229342683e+02,-1.481593804590120840e+02
-2.482593750000000000e+08,-1.424447630927230648e+02,-1.527480338014146923e+02,-1.431953901968668674e+02
-2.481375000000000000e+08,-1.386288106047863948e+02,-1.519464429773919392e+02,-1.394875840061941403e+02
-2.480156250000000000e+08,-1.358988033270542815e+02,-1.513946146079574646e+02,-1.367951856649116564e+02
-2.478937500000000000e+08,-1.340335253562841729e+02,-1.510837232736984959e+02,-1.349501931363494407e+02
-2.477718750000000000e+08,-1.329207028005288009e+02,-1.510173260760428775e+02,-1.338542967249422588e+02
-2.476500000000000000e+08,-1.325065076214693818e+02,-1.511979636501120012e+02,-1.334577460481422122e+02
-2.475281250000000000e+08,-1.327770243186170944e+02,-1.516191468599821519e+02,-1.337480172958854325e+02
-2.474062500000000000e+08,-1.337537629453768488e+02,-1.522692897012710489e+02,-1.347472409160089910e+02
-2.472843750000000000e+08,-1.354995542035536005e+02,-1.531489000235101230e+02,-1.365181072217991982e+02
-2.471625000000000000e+08,-1.381392437374908582e+02,-1.542956811052376054e+02,-1.391823107905458130e+02
-2.470406250000000000e+08,-1.419147204105942421e+02,-1.558081813225736596e+02,-1.429651078223718059e+02
-2.469187500000000000e+08,-1.473503802271926872e+02,-1.578666413928786199e+02,-1.483024598705736707e+02
-2.467968750000000000e+08,-1.558942688698558925e+02,-1.607553895622637015e+02,-1.559517939001971740e+02
-2.466750000000000000e+08,-1.656705711357478776e+02,-1.646806200399333306e+02,-1.621344465435104780e+02
-2.465531250000000000e+08,-1.605704164230549225e+02,-1.671237726046175567e+02,-1.597296268372954557e+02
-2.464312500000000000e+08,-1.599532143029146596e+02,-1.641028273388619709e+02,-1.572946498709210346e+02
-2.463093750000000000e+08,-1.603561892511752944e+02,-1.608097382670638638e+02,-1.544563787020501593e+02
-2.461875000000000000e+08,-1.594065802659166025e+02,-1.586614535588719548e+02,-1.518660948311833181e+02
-2.460656250000000000e+08,-1.579891107409689539e+02,-1.573960562262928704e+02,-1.500391867789348908e+02
-2.459437500000000000e+08,-1.570455139708181491e+02,-1.567355100991372296e+02,-1.489820018042574361e+02
-2.458218750000000000e+08,-1.564934294573169211e+02,-1.564085707922767199e+02,-1.486031892512075103e+02
-2.457000000000000000e+08,-1.559719343525769659e+02,-1.561260114716187957e+02,-1.488267786125298358e+02
-2.455781250000000000e+08,-1.553342421744986552e+02,-1.556860088055094593e+02,-1.495931262653122928e+02
-2.454562500000000000e+08,-1.549641562049563674e+02,-1.551161602258409289e+02,-1.509018327366820245e+02
-2.453343750000000000e+08,-1.554703600557968457e+02,-1.546209866922161780e+02,-1.528951575110895078e+02
