freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-1.870661410224248016e+02,-2.100000000000000000e+02,-1.870661410297408338e+02
-2.494781250000000000e+08,-1.798108630333357496e+02,-2.100000000000000000e+02,-1.798108630363855696e+02
-2.493562500000000000e+08,-1.767088570034738382e+02,-2.100000000000000000e+02,-1.767088570051986949e+02
-2.492343750000000000e+08,-1.789398460886300768e+02,-2.100000000000000000e+02,-1.789398460901899170e+02
-2.491125000000000000e+08,-1.863474512661808831e+02,-2.100000000000000000e+02,-1.863474512623911892e+02
-2.489906250000000000e+08,-1.730471703865450195e+02,-2.100000000000000000e+02,-1.730471703859847139e+02
-2.488687500000000000e+08,-1.682836720403890922e+02,-2.100000000000000000e+02,-1.682836720402233368e+02
-2.487468750000000000e+08,-1.686803950901562530e+02,-2.100000000000000000e+02,-1.686803950900874725e+02
-2.486250000000000000e+08,-1.826811129786945571e+02,-2.100000000000000000e+02,-1.826811129779293310e+02
-2.485031250000000000e+08,-1.604434251350134844e+02,-2.100000000000000000e+02,-1.604434251350313616e+02
-2.483812500000000000e+08,-1.520312046818273473e+02,-2.100000000000000000e+02,-1.520312046818460203e+02
-2.482593750000000000e+08,-1.466405241484341104e+02,-2.100000000000000000e+02,-1.466405241484564215e+02
-2.481375000000000000e+08,-1.428227673031585425e+02,-2.100000000000000000e+02,-1.428227673031806830e+02
-2.480156250000000000e+08,-1.400919966447741842e+02,-2.100000000000000000e+02,-1.400919966447958132e+02
-2.478937500000000000e+08,-1.382266945534651086e+02,-2.100000000000000000e+02,-1.382266945534871354e+02
-2.477718750000000000e+08,-1.371143634709007131e+02,-2.100000000000000000e+02,-1.371143634709225125e+02
-2.476500000000000000e+08,-1.367009911543370322e+02,-2.100000000000000000e+02,-1.367009911543590306e+02
-2.475281250000000000e+08,-1.369725000679790412e+02,-2.100000000000000000e+02,-1.369725000680011249e+02
-2.474062500000000000e+08,-1.379502540025907535e+02,-2.100000000000000000e+02,-1.379502540026136330e+02
-2.472843750000000000e+08,-1.396969622826945567e+02,-2.100000000000000000e+02,-1.396969622827184025e+02
-2.471625000000000000e+08,-1.423374255958083268e+02,-2.100000000000000000e+02,-1.423374255958344179e+02
-2.470406250000000000e+08,-1.461137843746218437e+02,-2.100000000000000000e+02,-1.461137843746504643e+02
-2.469187500000000000e+08,-1.515522451493209815e+02,-2.100000000000000000e+02,-1.515522451493580434e+02
-2.467968750000000000e+08,-1.601195066061639238e+02,-2.100000000000000000e+02,-1.601195066062061869e+02
-2.466750000000000000e+08,-1.701168076678778789e+02,-2.100000000000000000e+02,-1.701168076678271177e+02
-2.465531250000000000e+08,-1.648584167799238571e+02,-2.100000000000000000e+02,-1.648584167799369027e+02
-2.464312500000000000e+08,-1.642751753716556209e+02,-2.100000000000000000e+02,-1.642751753716237033e+02
-2.463093750000000000e+08,-1.647440239352974629e+02,-2.100000000000000000e+02,-1.647440239351446962e+02
-2.461875000000000000e+08,-1.637593177173363017e+02,-2.100000000000000000e+02,-1.637593177169984529e+02
-2.460656250000000000e+08,-1.622751605017867575e+02,-2.100000000000000000e+02,-1.622751605013161225e+02
-2.459437500000000000e+08,-1.613095270092644569e+02,-2.100000000000000000e+02,-1.613095270087298445e+02
-2.458218750000000000e+08,-1.607855845676718616e+02,-2.100000000000000000e+02,-1.607855845671583950e+02
-2.457000000000000000e+08,-1.603222603869947420e+02,-2.100000000000000000e+02,-1.603222603865806661e+02
-2.455781250000000000e+08,-1.597301629032830590e+02,-2.100000000000000000e+02,-1.597301629030441461e+02
-2.454562500000000000e+08,-1.593696436984585034e+02,-2.100000000000000000e+02,-1.593696436983314015e+02
-2.453343750000000000e+08,-1.598598243657386320e+02,-2.100000000000000000e+02,-1.598598243656783779e+02
-2.452125000000000000e+08,-1.610501218605795088e+02,-2.100000000000000000e+02,-1.610501218605582494e+02
-2.450906250000000000e+08,-1.602142720265135551e+02,-2.100000000000000000e+02,-1.602142720265399589e+02
-2.449687500000000000e+08,-1.576231862967540849e+02,-2.100000000000000000e+02,-1.576231862967888446e+02
-2.448468750000000000e+08,-1.571454622351390356e+02,-2.100000000000000000e+02,-1.571454622351692478e+02
-2.447250000000000000e+08,-1.598700181563492322e+02,-2.100000000000000000e+02,-1.598700181563469584e+02
-2.446031250000000000e+08,-1.515066333805297916e+02,-2.100000000000000000e+02,-1.515066333805023930e+02
-2.444812500000000000e+08,-1.433284786593657145e+02,-2.100000000000000000e+02,-1.433284786593550280e+02
-2.443593750000000000e+08,-1.378601290594211264e+02,-2.100000000000000000e+02,-1.378601290594131967e+02
-2.442375000000000000e+08,-1.339809742589384030e+02,-2.100000000000000000e+02,-1.339809742589318944e+02
-2.441156250000000000e+08,-1.312147627434555659e+02,-2.100000000000000000e+02,-1.312147627434495121e+02
-2.439937500000000000e+08,-1.293328719072865169e+02,-2.100000000000000000e+02,-1.293328719072804347e+02
-2.438718750000000000e+08,-1.282152562905392585e+02,-2.100000000000000000e+02,-1.282152562905331479e+02
-2.437500000000000000e+08,-1.278001832492181222e+02,-2.100000000000000000e+02,-1.278001832492119831e+02
-2.436281250000000000e+08,-1.280643054508799423e+02,-2.100000000000000000e+02,-1.280643054508738032e+02
-2.435062500000000000e+08,-1.290159953748652981e+02,-2.100000000000000000e+02,-1.290159953748592159e+02
-2.433843750000000000e+08,-1.306972541553040230e+02,-2.100000000000000000e+02,-1.306972541552980829e+02
-2.432625000000000000e+08,-1.331953918922420712e+02,-2.100000000000000000e+02,-1.331953918922367563e+02
-2.431406250000000000e+08,-1.366728763749503059e+02,-2.100000000000000000e+02,-1.366728763749467248e+02
-2.430187500000000000e+08,-1.414412742663627682e+02,-2.100000000000000000e+02,-1.414412742663641893e+02
-2.428968750000000000e+08,-1.481353429154423793e+02,-2.100000000000000000e+02,-1.481353429154603703e+02
-2.427750000000000000e+08,-1.569168527800594575e+02,-2.100000000000000000e+02,-1.569168527801325581e+02
-2.426531250000000000e+08,-1.577888788428527391e+02,-2.100000000000000000e+02,-1.577888788428538760e+02
-2.425312500000000000e+08,-1.566955848242572529e+02,-2.100000000000000000e+02,-1.566955848242155298e+02
-2.424093750000000000e+08,-1.575450248142909118e+02,-2.100000000000000000e+02,-1.575450248142238081e+02
-2.422875000000000000e+08,-1.585931066292833691e+02,-2.100000000000000000e+02,-1.585931066292189939e+02
-2.421656250000000000e+08,-1.588234078498381336e+02,-2.100000000000000000e+02,-1.588234078498058182e+02
-2.420437500000000000e+08,-1.585355034625563349e+02,-2.100000000000000000e+02,-1.585355034625440567e+02
-2.419218750000000000e+08,-1.580379339846486459e+02,-2.100000000000000000e+02,-1.580379339846566609e+02
-2.418000000000000000e+08,-1.575016159373589346e+02,-2.100000000000000000e+02,-1.575016159373757603e+02
-2.416781250000000000e+08,-1.572427792717572856e+02,-2.100000000000000000e+02,-1.572427792717855084e+02
-2.415562500000000000e+08,-1.575499836472477000e+02,-2.100000000000000000e+02,-1.575499836473120752e+02
-2.414343750000000000e+08,-1.585773572038516193e+02,-2.100000000000000000e+02,-1.585773572039502426e+02
-2.413125000000000000e+08,-1.602266516615296439e+02,-2.100000000000000000e+02,-1.602266516616733725e+02
-2.411906250000000000e+08,-1.615685914574559945e+02,-2.100000000000000000e+02,-1.615685914576156961e+02
-2.410687500000000000e+08,-1.613968296079432321e+02,-2.100000000000000000e+02,-1.613968296079981712e+02
-2.409468750000000000e+08,-1.611250672237571564e+02,-2.100000000000000000e+02,-1.611250672237441108e+02
-2.408250000000000000e+08,-1.616357278130924442e+02,-2.100000000000000000e+02,-1.616357278130788870e+02
-2.407031250000000000e+08,-1.568414003745372725e+02,-2.100000000000000000e+02,-1.568414003745528191e+02
-2.405812500000000000e+08,-1.498668224421039099e+02,-2.100000000000000000e+02,-1.498668224421058426e+02
-2.404593750000000000e+08,-1.446081051756909233e+02,-2.100000000000000000e+02,-1.446081051756832494e+02
-2.403375000000000000e+08,-1.407701861725580557e+02,-2.100000000000000000e+02,-1.407701861725471133e+02
-2.402156250000000000e+08,-1.379975563542459440e+02,-2.100000000000000000e+02,-1.379975563542333816e+02
-2.400937500000000000e+08,-1.360877274846610590e+02,-2.100000000000000000e+02,-1.360877274846481555e+02
-2.399718750000000000e+08,-1.349275417560335200e+02,-2.100000000000000000e+02,-1.349275417560203323e+02
-2.398500000000000000e+08,-1.344562097180089495e+02,-2.100000000000000000e+02,-1.344562097179954492e+02
-2.397281250000000000e+08,-1.346480346629774658e+02,-2.100000000000000000e+02,-1.346480346629638518e+02
-2.396062500000000000e+08,-1.355053930239806448e+02,-2.100000000000000000e+02,-1.355053930239664339e+02
-2.394843750000000000e+08,-1.370581322535352626e+02,-2.100000000000000000e+02,-1.370581322535201423e+02
-2.393625000000000000e+08,-1.393687846945575188e+02,-2.100000000000000000e+02,-1.393687846945410342e+02
-2.392406250000000000e+08,-1.425452473215588611e+02,-2.100000000000000000e+02,-1.425452473215404439e+02
-2.391187500000000000e+08,-1.467619821951462882e+02,-2.100000000000000000e+02,-1.467619821951234371e+02
