freq_hz,psd_desired_dBm_per_MHz,psd_interferer_dBm_per_MHz,psd_mixed_dBm_per_MHz
-2.496000000000000000e+08,-1.559302735235919783e+02,-1.644923960525500775e+02,-4.773730551144114997e+01
-2.494781250000000000e+08,-1.484386101095876711e+02,-1.643215821020974658e+02,-4.669211808318070211e+01
-2.493562500000000000e+08,-1.453179962683132089e+02,-1.646376760702311515e+02,-4.541785508254946535e+01
-2.492343750000000000e+08,-1.475527792641282758e+02,-1.653782319626770629e+02,-4.431246173500124996e+01
-2.491125000000000000e+08,-1.550924545691856338e+02,-1.664404789796472528e+02,-4.355916380504572771e+01
-2.489906250000000000e+08,-1.416971350852930129e+02,-1.676873155947278633e+02,-4.322353351671364408e+01
-2.488687500000000000e+08,-1.369375436271477042e+02,-1.689999061061855627e+02,-4.332612422357357218e+01
-2.487468750000000000e+08,-1.373452845027919977e+02,-1.703455515623310816e+02,-4.385584279355930448e+01
-2.486250000000000000e+08,-1.513688843431586122e+02,-1.717276554698314612e+02,-4.472861626238920962e+01
-2.485031250000000000e+08,-1.291069707366335706e+02,-1.729190848257199491e+02,-4.568654157085705947e+01
-2.483812500000000000e+08,-1.207011080945387107e+02,-1.732423161605088922e+02,-4.625360530520862312e+01
-2.482593750000000000e+08,-1.153137806343940213e+02,-1.723304913074179581e+02,-4.610403677495935426e+01
-2.481375000000000000e+08,-1.114978292506246476e+02,-1.708548603444223204e+02,-4.550095366654633722e+01
-2.480156250000000000e+08,-1.087678220587567353e+02,-1.695158728913135064e+02,-4.491247380886935048e+01
-2.478937500000000000e+08,-1.069025435847766232e+02,-1.685535676634212336e+02,-4.455018001724883447e+01
-2.477718750000000000e+08,-1.057897202911112515e+02,-1.679658168077692721e+02,-4.435289080803136130e+01
-2.476500000000000000e+08,-1.053755244805968800e+02,-1.676725503684165233e+02,-4.412837601396194032e+01
-2.475281250000000000e+08,-1.056460410485149168e+02,-1.675861933208157097e+02,-4.375936232177440388e+01
-2.474062500000000000e+08,-1.066227805852747395e+02,-1.676516658515822087e+02,-4.334561333676015238e+01
-2.472843750000000000e+08,-1.083685746259161533e+02,-1.678633124527089535e+02,-4.311688938614105382e+01
-2.471625000000000000e+08,-1.110082703006509348e+02,-1.682476134957090039e+02,-4.326966579519518064e+01
-2.470406250000000000e+08,-1.147837596368135564e+02,-1.688198796265332930e+02,-4.389830635499617983e+01
-2.469187500000000000e+08,-1.202194473984655474e+02,-1.695379944256249587e+02,-4.496759901760682965e+01
-2.467968750000000000e+08,-1.287634155639465234e+02,-1.702757386387904717e+02,-4.622858894171980637e+01
-2.466750000000000000e+08,-1.385395766863776146e+02,-1.708480753472756533e+02,-4.711401901076638410e+01
-2.465531250000000000e+08,-1.334393941650125441e+02,-1.711090303408293494e+02,-4.703336168989648058e+01
-2.464312500000000000e+08,-1.328223246065758190e+02,-1.710436651089466977e+02,-4.604913101041657342e+01
-2.463093750000000000e+08,-1.332254804622856454e+02,-1.707421905461091001e+02,-4.466637753226987684e+01
-2.461875000000000000e+08,-1.322759506533059835e+02,-1.703069321149399116e+02,-4.325920826611493908e+01
-2.460656250000000000e+08,-1.308584722604790613e+02,-1.698008128127015652e+02,-4.202439726515936513e+01
-2.459437500000000000e+08,-1.299148666843249771e+02,-1.692511830587794748e+02,-4.107017437630761947e+01
-2.458218750000000000e+08,-1.293627810838779624e+02,-1.686849462045319683e+02,-4.044822148400260176e+01
-2.457000000000000000e+08,-1.288412767787536950e+02,-1.681679863207673975e+02,-4.016381291664893638e+01
-2.455781250000000000e+08,-1.282035553383250317e+02,-1.678156410544165738e+02,-4.018540842717430905e+01
-2.454562500000000000e+08,-1.278334472511865272e+02,-1.677700621457711350e+02,-4.045502879129600160e+01
-2.453343750000000000e+08,-1.283396913575249698e+02,-1.681763035607928032e+02,-4.089819187011312351e+01
-2.452125000000000000e+08,-1.295434078906402249e+02,-1.691817626393758474e+02,-4.143102730255174038e+01
-2.450906250000000000e+08,-1.286639339494414003e+02,-1.709577972177978040e+02,-4.196264160485509365e+01
-2.449687500000000000e+08,-1.260453482014676467e+02,-1.737026320542885287e+02,-4.240029224246890749e+01
-2.448468750000000000e+08,-1.255670418041991354e+02,-1.772291530084693250e+02,-4.267461662862618255e+01
-2.447250000000000000e+08,-1.282749729987388037e+02,-1.785569669826305699e+02,-4.278095884523725090e+01
-2.446031250000000000e+08,-1.199110304053502887e+02,-1.760302215697691395e+02,-4.279264320946649036e+01
-2.444812500000000000e+08,-1.117435891249890574e+02,-1.735767908602007310e+02,-4.282259207984833438e+01
-2.443593750000000000e+08,-1.062793285586269860e+02,-1.721046537638295035e+02,-4.297220143032828332e+01
-2.442375000000000000e+08,-1.024021472393482384e+02,-1.714509531578061683e+02,-4.330540560450654652e+01
-2.441156250000000000e+08,-9.963696244434152050e+01,-1.714283968315585867e+02,-4.384378280196784772e+01
-2.439937500000000000e+08,-9.775559222631585499e+01,-1.718834982808014615e+02,-4.456365830510230808e+01
-2.438718750000000000e+08,-9.663819492158154389e+01,-1.726644587305680147e+02,-4.538925577677972001e+01
-2.437500000000000000e+08,-9.622312829489618480e+01,-1.736036233857558955e+02,-4.620264763217687687e+01
-2.436281250000000000e+08,-9.648705660098389103e+01,-1.745415513754177255e+02,-4.691005208913921365e+01
-2.435062500000000000e+08,-9.743828475191267557e+01,-1.753947211739294971e+02,-4.754629930055384079e+01
-2.433843750000000000e+08,-9.911863803462520650e+01,-1.762106531700005689e+02,-4.829498880476111822e+01
-2.432625000000000000e+08,-1.016150628440966841e+02,-1.771546411789097988e+02,-4.935748544151951478e+01
-2.431406250000000000e+08,-1.050892560785504486e+02,-1.784657402159444359e+02,-5.064275390929216769e+01
-2.430187500000000000e+08,-1.098508327309542665e+02,-1.804561901923897835e+02,-5.112969629708859998e+01
-2.428968750000000000e+08,-1.165272927916782919e+02,-1.835949238155516241e+02,-4.958712408964319707e+01
-2.427750000000000000e+08,-1.252476566680180099e+02,-1.885342487034757255e+02,-4.706962375848837610e+01
-2.426531250000000000e+08,-1.261316812533442544e+02,-1.914832464981707858e+02,-4.485355153969973685e+01
-2.425312500000000000e+08,-1.250330624962797401e+02,-1.870329861990816767e+02,-4.326020354818689384e+01
-2.424093750000000000e+08,-1.258562402739291315e+02,-1.838948482479719928e+02,-4.227819162931228902e+01
-2.422875000000000000e+08,-1.269145538414520331e+02,-1.824222827252887100e+02,-4.183990361294064542e+01
-2.421656250000000000e+08,-1.271938652695795042e+02,-1.820805074732621733e+02,-4.187580297444020516e+01
-2.420437500000000000e+08,-1.269255706334711817e+02,-1.825490566775920342e+02,-4.231565752290981663e+01
-2.419218750000000000e+08,-1.264027521648376933e+02,-1.835611141270599092e+02,-4.307328727850801897e+01
-2.418000000000000000e+08,-1.258262177837584943e+02,-1.848040138115536024e+02,-4.401710824779112841e+01
-2.416781250000000000e+08,-1.255373778723038640e+02,-1.859511718673227278e+02,-4.493654022405218029e+01
-2.415562500000000000e+08,-1.258324296187334426e+02,-1.868678689816269411e+02,-4.556735778492270583e+01
-2.414343750000000000e+08,-1.268651777154796889e+02,-1.877332660060245644e+02,-4.575292480516247906e+01
-2.413125000000000000e+08,-1.285245422735974330e+02,-1.888677873912296832e+02,-4.558845385203022715e+01
-2.411906250000000000e+08,-1.298385353782189782e+02,-1.904849238268920999e+02,-4.530940313540324382e+01
-2.410687500000000000e+08,-1.296121936891464657e+02,-1.922058651399742644e+02,-4.510063478439266760e+01
-2.409468750000000000e+08,-1.293258647127501888e+02,-1.921554065091597749e+02,-4.504391956997241664e+01
-2.408250000000000000e+08,-1.298299017257273249e+02,-1.897991429217391897e+02,-4.514846927608655847e+01
-2.407031250000000000e+08,-1.250407625073139570e+02,-1.872468331469742679e+02,-4.536992748256079722e+01
-2.405812500000000000e+08,-1.180856110512733608e+02,-1.853016472953642051e+02,-4.558886847285629074e+01
-2.404593750000000000e+08,-1.128372028066571602e+02,-1.838226641633066265e+02,-4.559548093609780040e+01
-2.403375000000000000e+08,-1.090044733827483014e+02,-1.824205179968976722e+02,-4.520232351351452849e+01
-2.402156250000000000e+08,-1.062341989295672988e+02,-1.807923237198972970e+02,-4.445449955686396493e+01
-2.400937500000000000e+08,-1.043251021313902811e+02,-1.789863037072385055e+02,-4.361823044912475211e+01
-2.399718750000000000e+08,-1.031647757339327427e+02,-1.772821550759916818e+02,-4.295924465003051296e+01
-2.398500000000000000e+08,-1.026929165874332170e+02,-1.759147298541716395e+02,-4.262605895600839290e+01
-2.397281250000000000e+08,-1.028841199637130615e+02,-1.749993248658024072e+02,-4.266206261094504271e+01
-2.396062500000000000e+08,-1.037408730714865897e+02,-1.745769807595046359e+02,-4.303932823797333640e+01
-2.394843750000000000e+08,-1.052929114153597823e+02,-1.746587220228144020e+02,-4.367577503143201056e+01
-2.393625000000000000e+08,-1.076022936817545315e+02,-1.752411592142414634e+02,-4.444016717717929055e+01
-2.392406250000000000e+08,-1.107757051652502582e+02,-1.762787402608763045e+02,-4.516143366186969388e+01
-2.391187500000000000e+08,-1.149845709937124525e+02,-1.775522839399643544e+02,-4.567010324046327696e+01
-2.389968750000000000e+08,-1.204506447369076909e+02,-1.783920704974590308e+02,-4.589085262422474898e+01
-2.388750000000000000e+08,-1.268114027311714267e+02,-1.779270336226621794e+02,-4.592191272448772565e+01
-2.387531250000000000e+08,-1.300117720180029153e+02,-1.763835170206164094e+02,-4.599233263494824087e+01
-2.386312500000000000e+08,-1.293869579595857715e+02,-1.746741575163533753e+02,-4.633227155040091816e+01
-2.385093750000000000e+08,-1.286541662044939756e+02,-1.732709883920913967e+02,-4.705253828879205003e+01
-2.383875000000000000e+08,-1.279704293266755428e+02,-1.722781613134544614e+02,-4.798405907117563629e+01
-2.382656250000000000e+08,-1.271998917700616403e+02,-1.716686803642536461e+02,-4.846333663160697824e+01
-2.381437500000000000e+08,-1.264578966181227315e+02,-1.713614764773086563e+02,-4.781365445565344885e+01
-2.380218750000000000e+08,-1.259249137888463679e+02,-1.712297495385592470e+02,-4.644876603362459377e+01
-2.379000000000000000e+08,-1.257511028884356108e+02,-1.711149686035892046e+02,-4.517961802958592443e+01
-2.377781250000000000e+08,-1.259765099138126629e+02,-1.708978770973562860e+02,-4.437078807797496438e+01
-2.376562500000000000e+08,-1.265154136068057369e+02,-1.705976604305204205e+02,-4.408598304571989956e+01
-2.375343750000000000e+08,-1.272749210330798064e+02,-1.703805744882735098e+02,-4.429514078002102906e+01
-2.374125000000000000e+08,-1.283328643828388067e+02,-1.704671712151459815e+02,-4.495315936993313244e+01
-2.372906250000000000e+08,-1.299100622336969764e+02,-1.710559170256208290e+02,-4.601332547797218808e+01
-2.371687500000000000e+08,-1.320846923061380096e+02,-1.722991753278106444e+02,-4.738069231840583484e+01
-2.370468750000000000e+08,-1.346032024090765731e+02,-1.742332239952907571e+02,-4.875649486019824508e+01
-2.369250000000000000e+08,-1.357875823053110764e+02,-1.763408716187468031e+02,-4.945907313654703330e+01
-2.368031250000000000e+08,-1.300971997392508968e+02,-1.767904323857155759e+02,-4.891568579910489234e+01
-2.366812500000000000e+08,-1.232459677396981306e+02,-1.750295390306783929e+02,-4.750561186810938352e+01
-2.365593750000000000e+08,-1.180094496413368859e+02,-1.728578308335922884e+02,-4.590546501292331527e+01
-2.364375000000000000e+08,-1.141156155092983795e+02,-1.709979204138721798e+02,-4.443835506614900055e+01
-2.363156250000000000e+08,-1.112681239845724974e+02,-1.694390403061958636e+02,-4.321036407274468161e+01
-2.361937500000000000e+08,-1.092830953598025303e+02,-1.681292044189667081e+02,-4.228283553698889818e+01
-2.360718750000000000e+08,-1.080494669899290727e+02,-1.671055516748745617e+02,-4.172217624884527254e+01
-2.359500000000000000e+08,-1.075026672197296875e+02,-1.664499105071999452e+02,-4.159752545097825305e+01
